,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,8.705,8.82,8.6,8.7175,7.774136,1802400
1,2010-01-05,8.69,9.235,8.69,9.195,8.199961,3052800
2,2010-01-06,9.0625,9.285,9.05,9.1125,8.126389999999999,2994000
3,2010-01-07,9.1375,9.42,9.04,9.065,8.08403,2887200
4,2010-01-08,9.0575,9.215,8.81,8.885,7.923508999999999,2457600
5,2010-01-11,8.9575,8.9875,8.7125,8.83,7.874461999999999,2324000
6,2010-01-12,8.775,9.05,8.7525,9.0275,8.050588000000001,1866800
7,2010-01-13,9.0825,9.4,8.9875,9.335,8.324811,1442000
8,2010-01-14,9.3475,9.4425,9.3025,9.35,8.338192,1028400
9,2010-01-15,9.1825,9.195,8.9125,9.015,8.039442,2452800
10,2010-01-19,9.0475,9.3,8.9975,9.2925,8.28691,1736400
11,2010-01-20,9.1875,9.3,9.02,9.25,8.249011,2017200
12,2010-01-21,9.3,9.4875,9.21,9.3075,8.300289999999999,2466000
13,2010-01-22,9.3075,9.3925,8.9825,9.0125,8.037211,1602400
14,2010-01-25,9.065,9.2,9.04,9.1275,8.139764999999999,1302800
15,2010-01-26,9.075,9.145,8.8625,8.87,7.910133999999999,1676000
16,2010-01-27,8.84,9.1675,8.735,9.125,8.137536,2150800
17,2010-01-28,8.89,9.0,8.145,8.1475,7.265817,7360000
18,2010-01-29,8.1975,8.2475,7.81,7.835,6.987135,3382800
19,2010-02-01,7.8425,8.0025,7.81,7.9925,7.127592999999999,1856800
20,2010-02-02,8.025,8.3125,8.01,8.3125,7.412964,2856000
21,2010-02-03,8.29,8.39,8.1725,8.315,7.4151940000000005,3080400
22,2010-02-04,8.035,8.1425,7.91,8.0,7.134281,5684800
23,2010-02-05,7.975,8.085,7.8775,8.04,7.169952,3012000
24,2010-02-08,8.0175,8.2275,7.97,8.0975,7.221228,2164800
25,2010-02-09,8.225,8.425,8.1925,8.3425,7.439717,2364400
26,2010-02-10,8.2875,8.305,7.8975,7.94,7.0807720000000005,2656800
27,2010-02-11,7.95,8.1625,7.9,8.0825,7.207852000000001,3575200
28,2010-02-12,8.045,8.205,7.8575,8.1875,7.301489,2327200
29,2010-02-16,8.2925,8.5625,8.2475,8.5025,7.5824,1916000
30,2010-02-17,8.5625,8.625,8.4625,8.5625,7.635908000000001,1792000
31,2010-02-18,8.5775,8.8975,8.555,8.89,7.927967,2375600
32,2010-02-19,8.88,9.2125,8.84,9.1225,8.135309,3352400
33,2010-02-22,9.1325,9.295,8.8675,8.8825,7.921278999999999,2300800
34,2010-02-23,8.865,8.9775,8.6825,8.73,7.785283,1634400
35,2010-02-24,8.7275,8.825,8.675,8.7375,7.79197,1399600
36,2010-02-25,8.52,8.685,8.51,8.655,7.718398,1677600
37,2010-02-26,8.68,8.78,8.605,8.75,7.80312,1939600
38,2010-03-01,8.805,9.375,8.8025,9.2925,8.28691,4232000
39,2010-03-02,9.3625,9.43,9.0525,9.065,8.08403,2903200
40,2010-03-03,9.1125,9.225,8.9975,9.155,8.164289,1382400
41,2010-03-04,9.14,9.205,8.9275,9.0575,8.077342,1340400
42,2010-03-05,9.1425,9.2925,9.0625,9.2875,8.282452000000001,2717600
43,2010-03-08,9.25,9.3925,8.99,9.025,8.048362,2030800
44,2010-03-09,9.025,9.4925,9.025,9.49,8.463039,4521600
45,2010-03-10,9.48,10.095,9.48,10.025,8.940144,5502000
46,2010-03-11,9.975,10.1175,9.9375,10.095,9.00257,3516400
47,2010-03-12,10.0625,10.16,9.9475,10.14,9.042701,2555600
48,2010-03-15,10.0675,10.29,10.065,10.1975,9.093978,2671200
49,2010-03-16,10.1925,10.2275,10.035,10.08,8.989192999999998,2453600
50,2010-03-17,10.11,10.3075,9.995,10.255,9.145255,2256800
51,2010-03-18,10.285,10.35,10.1025,10.1025,9.009258,1341200
52,2010-03-19,10.0425,10.1325,9.8125,10.0425,8.955749,3152400
53,2010-03-22,9.9525,10.3575,9.875,10.3225,9.205452000000001,1887600
54,2010-03-23,10.3725,10.4975,10.2325,10.4675,9.334761,1567600
55,2010-03-24,10.38,10.495,10.19,10.2675,9.156400999999999,1607600
56,2010-03-25,10.3275,10.5975,10.275,10.28,9.167545,1910800
57,2010-03-26,10.34,10.6475,10.28,10.3325,9.214369999999999,1465200
58,2010-03-29,10.34,10.48,10.255,10.285,9.172011,1010400
59,2010-03-30,10.3,10.4025,10.1875,10.28,9.167545,1028400
60,2010-03-31,10.22,10.5,10.2075,10.3075,9.192074,2074400
61,2010-04-01,10.3975,10.47,10.1775,10.2225,9.116273,1848400
62,2010-04-05,10.245,10.28,10.1025,10.275,9.163092,1346400
63,2010-04-06,10.1875,10.385,10.1875,10.245,9.136336,1208800
64,2010-04-07,10.245,10.245,9.97,10.01,8.926769,1949600
65,2010-04-08,10.0,10.685,10.0,10.445,9.314694,3802400
66,2010-04-09,10.5275,10.55,10.2925,10.54,9.399411,1144000
67,2010-04-12,10.6,10.9275,10.585,10.855,9.680328,2223200
68,2010-04-13,10.815,10.99,10.715,10.8975,9.718226,2920400
69,2010-04-14,10.96,11.095,10.9125,11.0425,9.847534,2156000
70,2010-04-15,11.08,11.36,11.04,11.265,10.045957000000001,2248000
71,2010-04-16,11.275,11.32,10.59,10.7725,9.606753,3186800
72,2010-04-19,10.425,10.7825,10.3575,10.47,9.336991000000001,1974800
73,2010-04-20,10.535,10.62,10.2625,10.51,9.372661,1592400
74,2010-04-21,10.5,10.6425,10.03,10.2775,9.16532,2922800
75,2010-04-22,10.2,10.6425,10.0975,10.5025,9.365972,2683200
76,2010-04-23,10.685,11.06,10.6375,10.9475,9.762816,2796400
77,2010-04-26,11.05,11.25,10.9475,11.22,10.005828999999999,2401200
78,2010-04-27,11.11,11.43,10.4675,10.5225,9.38381,2934000
79,2010-04-28,10.61,10.6825,10.3575,10.56,9.417251,3124400
80,2010-04-29,10.66,10.735,10.445,10.505,9.368205,1862400
81,2010-04-30,10.55,10.685,10.35,10.3525,9.232202000000001,2348000
82,2010-05-03,10.825,11.5175,10.765,11.3,10.077169999999999,5806400
83,2010-05-04,11.24,11.24,10.4725,10.63,9.479674000000001,3158400
84,2010-05-05,10.475,10.79,10.2525,10.5925,9.446232,3173200
85,2010-05-06,10.5275,10.6525,9.2575,9.9075,8.835359,4126800
86,2010-05-07,9.95,10.55,9.8075,10.2575,9.147485000000001,5511600
87,2010-05-10,10.7475,10.8875,10.56,10.8625,9.687016,2487200
88,2010-05-11,10.685,11.1325,10.5925,11.0775,9.878748,2014400
89,2010-05-12,11.095,11.525,11.095,11.5125,10.266677,2092000
90,2010-05-13,11.4725,11.725,11.33,11.405,10.170811,1554400
91,2010-05-14,11.3275,11.3825,11.065,11.205,9.992452,1351600
92,2010-05-17,11.24,11.525,10.975,11.3625,10.132906,1877200
93,2010-05-18,11.5425,11.6475,11.3325,11.3775,10.146284,3063600
94,2010-05-19,11.285,11.515,11.16,11.355,10.126219,3524800
95,2010-05-20,10.9075,11.1775,10.5775,10.585,9.439544,3647600
96,2010-05-21,10.2925,11.2025,10.28,11.0875,9.887666000000001,3469200
97,2010-05-24,11.085,11.2475,11.01,11.09,9.889896,2300800
98,2010-05-25,10.76,11.5525,10.72,11.4875,10.24438,3420400
99,2010-05-26,11.575,12.0175,11.4,11.68,10.416051,4450000
100,2010-05-27,11.875,12.2625,11.7825,12.175,10.857483,3272000
101,2010-05-28,12.18,12.18,11.6625,11.675,10.411589,3305600
102,2010-06-01,11.7125,11.77,11.505,11.545,10.295656,2706400
103,2010-06-02,11.735,12.4825,11.735,12.4825,11.131705,3725600
104,2010-06-03,12.31,12.675,12.31,12.5725,11.211967999999999,2482000
105,2010-06-04,12.17,12.41,12.0275,12.0625,10.757157000000001,2151200
106,2010-06-07,12.2025,12.2175,11.78,11.7975,10.520833999999999,1407600
107,2010-06-08,11.8825,12.0225,11.5675,11.8875,10.601091,1396000
108,2010-06-09,12.0525,12.2925,11.885,11.9625,10.667976,1836000
109,2010-06-10,12.05,12.2925,11.94,12.2525,10.926596,2242400
110,2010-06-11,12.1225,12.715,11.9525,12.715,11.339046000000002,4062000
111,2010-06-14,12.93,13.15,12.76,12.8175,11.430454,2737200
112,2010-06-15,12.835,13.0575,12.835,12.94,11.539696000000001,2402800
113,2010-06-16,12.875,13.2975,12.615,13.2,11.771562,3702000
114,2010-06-17,13.325,13.455,13.2125,13.325,11.883033,2630000
115,2010-06-18,13.315,13.5325,13.0775,13.1475,11.724745,2214800
116,2010-06-21,13.395,13.425,12.835,12.93,11.530781,1553200
117,2010-06-22,12.9675,13.0225,12.395,12.4075,11.064822,2050800
118,2010-06-23,12.4,12.66,12.155,12.4625,11.113873,2415200
119,2010-06-24,12.3375,12.48,12.0975,12.1175,10.806206,1735600
120,2010-06-25,12.1425,12.24,11.7575,11.875,10.589948,3320400
121,2010-06-28,11.9025,12.3475,11.895,12.0825,10.774995,1584000
122,2010-06-29,11.8325,11.8325,11.255,11.3075,10.083860000000001,2298800
123,2010-06-30,11.365,11.73,11.2275,11.2375,10.021435,2297600
124,2010-07-01,11.3575,11.635,10.8125,11.065,9.867602,2430400
125,2010-07-02,11.165,11.185,10.5,10.81,9.640197,1719200
126,2010-07-06,10.885,11.7175,10.885,11.1675,9.959005,3150000
127,2010-07-07,11.2275,11.775,11.04,11.76,10.487392999999999,2097600
128,2010-07-08,11.79,11.9375,11.555,11.8275,10.547589,1606000
129,2010-07-09,11.8275,11.9725,11.7625,11.91,10.621159,964800
130,2010-07-12,11.8375,11.905,11.455,11.725,10.456178,1304800
131,2010-07-13,11.89,12.0,11.805,11.945,10.65237,2056800
132,2010-07-14,11.92,12.3425,11.92,12.2075,10.886464,1943200
133,2010-07-15,12.1625,12.28,11.96,12.125,10.812895,1924000
134,2010-07-16,12.1075,12.1625,11.9525,11.965,10.670208,2047600
135,2010-07-19,12.0225,12.0225,11.45,11.925,10.634535000000001,1846400
136,2010-07-20,11.88,12.2425,11.7675,12.2325,10.908764999999999,2092000
137,2010-07-21,12.265,12.3825,11.925,11.9825,10.685812,2027600
138,2010-07-22,12.2,12.3275,12.02,12.315,10.982330000000001,2332400
139,2010-07-23,12.315,12.53,12.265,12.5,11.147317,4671200
140,2010-07-26,12.595,12.9925,12.56,12.97,11.566452,2729200
141,2010-07-27,13.11,13.2275,12.5,12.74,11.361343,3223200
142,2010-07-28,12.685,13.0425,12.685,12.865,11.47281,1910400
143,2010-07-29,13.0075,13.0875,12.655,12.9375,11.537467999999999,1407200
144,2010-07-30,12.74,13.0025,12.67,12.8975,11.501799,1517200
145,2010-08-02,13.2,13.25,13.02,13.2375,11.805003999999998,1630000
146,2010-08-03,13.115,13.185,12.75,12.835,11.446061,1120800
147,2010-08-04,12.935,12.955,12.6625,12.825,11.437141,1640800
148,2010-08-05,12.75,13.17,12.6975,13.11,11.691301,2479600
149,2010-08-06,12.94,13.2125,12.775,13.175,11.749267,1761600
150,2010-08-09,13.2175,13.665,13.18,13.5225,12.059161999999999,3949600
151,2010-08-10,13.4775,13.4775,13.1275,13.2525,11.81838,1572800
152,2010-08-11,12.8775,13.0625,12.42,12.44,11.093803999999999,1935600
153,2010-08-12,12.17,12.7125,12.0375,12.53,11.174066999999999,1579200
154,2010-08-13,12.4575,12.85,12.3325,12.7775,11.394783,1547200
155,2010-08-16,12.69,13.0925,12.575,13.0175,11.608812,1416000
156,2010-08-17,13.1725,13.47,13.16,13.3025,11.862967999999999,1756400
157,2010-08-18,13.25,13.5475,13.1725,13.5025,12.041327,3057600
158,2010-08-19,13.435,13.5475,12.84,12.86,11.468355,2227200
159,2010-08-20,12.775,12.775,12.2,12.51,11.15623,3047600
160,2010-08-23,12.5675,12.79,12.065,12.0725,10.766074,1877600
161,2010-08-24,11.84,11.9875,11.545,11.78,10.505225,2091200
162,2010-08-25,11.6425,11.6425,11.2525,11.39,10.157434,4030800
163,2010-08-26,11.4425,11.4975,11.1075,11.13,9.925569,2464800
164,2010-08-27,11.2275,11.2775,11.02,11.2,9.987992,3375600
165,2010-08-30,11.1875,11.32,11.09,11.0925,9.892125,2586400
166,2010-08-31,11.0875,11.17,10.9725,11.0575,9.860914,3633600
167,2010-09-01,11.2325,11.3825,10.985,11.3025,10.079398,3626000
168,2010-09-02,11.2725,11.715,11.155,11.615,10.358082000000001,2334800
169,2010-09-03,11.8425,12.05,11.7425,11.83,10.549817,2102400
170,2010-09-07,11.7475,11.7475,11.465,11.495,10.251068,2116400
171,2010-09-08,11.505,11.56,11.255,11.33,10.103925,1636800
172,2010-09-09,11.525,11.665,11.3325,11.5825,10.329101,2425200
173,2010-09-10,11.6525,11.7375,11.5575,11.565,10.313496,1513600
174,2010-09-13,11.75,11.9475,11.705,11.8075,10.529752,1616000
175,2010-09-14,11.7525,12.1625,11.675,11.86,10.576569000000001,1731200
176,2010-09-15,11.8425,12.255,11.83,12.105,10.795055,1988400
177,2010-09-16,12.0675,12.0675,11.85,11.985,10.688041,1180800
178,2010-09-17,12.0525,12.11,11.6725,11.74,10.469555999999999,1693600
179,2010-09-20,11.8125,11.9225,11.75,11.86,10.576569000000001,1424800
180,2010-09-21,11.885,12.425,11.875,12.325,10.99125,2285200
181,2010-09-22,12.2475,12.3575,12.065,12.085,10.777221,1116000
182,2010-09-23,12.015,12.1575,11.72,11.775,10.500769,1524800
183,2010-09-24,11.955,12.0825,11.8575,11.965,10.670208,1134800
184,2010-09-27,12.085,12.75,12.0275,12.4925,11.140624,2228000
185,2010-09-28,12.5125,12.58,12.2625,12.41,11.067053,1256800
186,2010-09-29,12.375,12.8225,12.31,12.73,11.352421000000001,2074400
187,2010-09-30,12.805,12.9625,12.7275,12.7575,11.376946,2580800
188,2010-10-01,12.9325,12.9625,12.3675,12.4475,11.100495,1663600
