,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,14.05,14.57,14.03,14.3,11.482571,18615100
1,2010-01-05,14.24,14.38,14.04,14.19,11.394238,15173200
2,2010-01-06,14.23,14.4,14.1,14.16,11.370154,13704800
3,2010-01-07,14.14,14.21,13.96,14.01,11.249704,21543200
4,2010-01-08,14.24,14.59,14.11,14.55,11.683313,41212100
5,2010-01-11,14.84,14.94,14.45,14.87,11.940263,33667800
6,2010-01-12,14.76,14.77,14.03,14.2,11.402268,40350900
7,2010-01-13,14.29,14.42,13.92,14.27,11.458478999999999,25137300
8,2010-01-14,14.22,14.38,14.02,14.35,11.522717,26920500
9,2010-01-15,14.16,14.34,13.67,13.73,11.024871000000001,36020100
10,2010-01-19,13.77,14.02,13.75,13.97,11.217588000000001,14620900
11,2010-01-20,13.83,13.89,13.65,13.8,11.081081,19220200
12,2010-01-21,13.86,14.09,13.52,13.58,10.904427,25265000
13,2010-01-22,13.35,13.39,12.61,12.63,10.141597,48104300
14,2010-01-25,12.66,12.94,12.59,12.64,10.149627,39765000
15,2010-01-26,12.72,13.01,12.64,12.65,10.157658,36897100
16,2010-01-27,12.75,13.07,12.69,13.04,10.470816000000001,30448800
17,2010-01-28,13.08,13.09,12.35,12.61,10.125537,35016600
18,2010-01-29,12.78,12.85,12.15,12.18,9.780256,25601600
19,2010-02-01,12.34,12.56,12.23,12.52,10.053271,20227300
20,2010-02-02,12.59,12.59,12.35,12.51,10.045238000000001,21525000
21,2010-02-03,12.35,12.48,12.12,12.28,9.860557,36170300
22,2010-02-04,12.22,12.22,11.66,11.8,9.475128,40737400
23,2010-02-05,11.8,12.27,11.68,12.23,9.820406,43781500
24,2010-02-08,12.25,12.33,12.03,12.07,9.691932000000001,17976400
25,2010-02-09,12.24,12.4,12.04,12.15,9.756167,21123700
26,2010-02-10,12.2,12.32,12.1,12.23,9.820406,17213400
27,2010-02-11,12.22,12.53,12.06,12.47,10.013123,18388100
28,2010-02-12,12.3,12.72,12.15,12.47,10.013123,23748600
29,2010-02-16,12.67,12.97,12.56,12.95,10.398551,21663600
30,2010-02-17,13.09,13.15,12.75,12.99,10.430664,25202600
31,2010-02-18,12.78,12.79,12.31,12.68,10.181747,45212200
32,2010-02-19,12.62,12.64,12.35,12.5,10.037208999999999,29090400
33,2010-02-22,12.53,12.59,12.39,12.45,10.045278,22697700
34,2010-02-23,12.45,12.48,11.94,12.01,9.690263999999999,30237000
