,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,6.01,6.12,5.95,6.12,6.12,3089200
1,2010-01-05,6.12,6.12,5.97,6.06,6.06,3981800
2,2010-01-06,6.04,6.2,6.02,6.13,6.13,4317700
3,2010-01-07,6.1,6.29,6.09,6.25,6.25,4079900
4,2010-01-08,6.26,6.36,6.22,6.34,6.34,2336100
5,2010-01-11,6.35,6.42,6.3,6.34,6.34,4409300
6,2010-01-12,6.34,6.34,6.16,6.2,6.2,3100600
7,2010-01-13,6.22,6.41,6.2,6.39,6.39,3328000
8,2010-01-14,6.35,6.39,6.25,6.32,6.32,2326700
9,2010-01-15,6.29,6.33,6.16,6.22,6.22,2212300
10,2010-01-19,6.2,6.25,6.13,6.22,6.22,4766000
11,2010-01-20,6.2,6.22,6.09,6.18,6.18,2890400
12,2010-01-21,6.16,6.23,6.08,6.12,6.12,2790300
13,2010-01-22,6.13,6.14,5.96,5.97,5.97,3340800
14,2010-01-25,6.04,6.07,5.89,5.95,5.95,6727300
15,2010-01-26,5.95,5.98,5.84,5.93,5.93,1461500
16,2010-01-27,5.93,6.03,5.86,5.99,5.99,2280300
17,2010-01-28,5.98,5.98,5.82,5.84,5.84,2452400
18,2010-01-29,5.8,6.0,5.79,5.81,5.81,3145100
19,2010-02-01,5.81,5.96,5.79,5.91,5.91,2790700
20,2010-02-02,5.9,6.13,5.87,6.09,6.09,4835200
21,2010-02-03,6.04,6.12,6.0,6.08,6.08,5049300
22,2010-02-04,5.95,6.08,5.74,5.77,5.77,8631400
23,2010-02-05,5.78,5.84,5.59,5.73,5.73,5601700
24,2010-02-08,5.72,5.73,5.6,5.6,5.6,5149300
25,2010-02-09,5.61,5.63,5.36,5.45,5.45,9613800
26,2010-02-10,5.47,5.58,5.45,5.54,5.54,2866800
27,2010-02-11,5.51,5.69,5.49,5.64,5.64,2832000
28,2010-02-12,5.6,5.67,5.54,5.66,5.66,2626700
29,2010-02-16,5.69,5.78,5.62,5.65,5.65,3022600
30,2010-02-17,5.66,5.78,5.61,5.77,5.77,1573200
31,2010-02-18,5.79,5.87,5.73,5.82,5.82,1977300
32,2010-02-19,5.83,5.86,5.76,5.8,5.8,2202800
33,2010-02-22,5.83,5.83,5.69,5.7,5.7,1252500
34,2010-02-23,5.67,5.73,5.51,5.66,5.66,5005600
35,2010-02-24,5.71,5.76,5.66,5.76,5.76,1965000
36,2010-02-25,5.67,5.76,5.58,5.74,5.74,2794200
37,2010-02-26,5.72,5.78,5.6,5.7,5.7,2135000
38,2010-03-01,5.7,5.82,5.63,5.76,5.76,1586000
39,2010-03-02,5.76,6.02,5.75,5.95,5.95,2612500
