,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,8.375,8.565,8.375,8.485,6.925739999999999,27146800
1,2010-01-05,8.465,8.49,8.275,8.37,6.831875999999999,35493000
2,2010-01-06,8.39,8.4,8.265,8.31,6.782901,27741400
3,2010-01-07,8.355,8.53,8.275,8.485,6.925739999999999,30214800
4,2010-01-08,8.465,8.535,8.405,8.46,6.905335000000001,25454000
5,2010-01-11,8.435,8.5,8.365,8.405,6.860444,38109200
6,2010-01-12,8.375,8.375,8.205,8.255,6.738008,36282000
7,2010-01-13,8.34,8.425,8.31,8.385,6.844119,31533800
8,2010-01-14,8.41,8.415,8.305,8.335,6.803309,34823600
9,2010-01-15,8.37,8.41,8.195,8.315,6.786983,43236000
10,2010-01-19,8.365,8.43,8.31,8.405,6.860444,25319000
11,2010-01-20,8.29,8.33,8.1,8.26,6.7420919999999995,43376400
12,2010-01-21,8.26,8.29,7.92,8.0,6.52987,65772600
13,2010-01-22,8.005,8.19,7.905,7.925,6.468653,56665000
14,2010-01-25,7.935,8.085,7.88,8.005,6.533951,30493200
15,2010-01-26,7.955,8.025,7.79,7.85,6.4074349999999995,42569400
16,2010-01-27,7.815,8.045,7.79,7.925,6.468653,40780000
17,2010-01-28,7.985,8.06,7.775,7.81,6.374784,38618800
18,2010-01-29,7.875,8.065,7.755,7.915,6.46049,54386600
19,2010-02-01,8.04,8.05,7.93,7.97,6.505383,32681400
20,2010-02-02,7.925,8.175,7.92,8.145,6.648224000000001,38526400
21,2010-02-03,8.27,8.3,7.925,7.985,6.517627,58379600
22,2010-02-04,7.9,7.975,7.76,7.76,6.333973,45437200
23,2010-02-05,7.755,7.865,7.575,7.71,6.293158999999999,53431200
24,2010-02-08,7.725,7.735,7.6,7.605,6.207457,31328000
25,2010-02-09,7.69,7.85,7.635,7.695,6.280918,48789400
26,2010-02-10,7.72,7.72,7.59,7.655,6.2482690000000005,43407200
27,2010-02-11,7.63,7.715,7.555,7.665,6.256431,36472000
28,2010-02-12,7.575,7.685,7.55,7.67,6.260512,55095600
29,2010-02-16,7.795,7.855,7.725,7.835,6.395192,40474600
30,2010-02-17,7.885,7.885,7.8,7.83,6.39111,26798200
31,2010-02-18,7.85,7.9,7.8,7.865,6.419678,25432600
32,2010-02-19,7.82,8.02,7.775,8.0,6.52987,51955000
33,2010-02-22,8.05,8.145,8.005,8.095,6.607411999999999,39578000
34,2010-02-23,8.05,8.155,8.015,8.07,6.587007000000001,34481600
35,2010-02-24,8.135,8.235,8.05,8.21,6.7012789999999995,53823600
36,2010-02-25,8.08,8.13,7.975,8.07,6.587007000000001,46155800
37,2010-02-26,8.115,8.235,8.035,8.22,6.709441,43478000
38,2010-03-01,8.25,8.445,8.25,8.415,6.868607000000001,46009200
39,2010-03-02,8.415,8.485,8.35,8.4,6.856362,44590800
40,2010-03-03,8.445,8.495,8.39,8.48,6.9216619999999995,46038400
41,2010-03-04,8.5,8.6,8.47,8.585,7.0073669999999995,31287600
42,2010-03-05,8.59,8.725,8.585,8.715,7.113475,32694800
43,2010-03-08,8.66,8.835,8.62,8.78,7.166531,33416400
44,2010-03-09,8.79,8.825,8.705,8.755,7.146126,34396600
45,2010-03-10,8.71,8.84,8.685,8.765,7.154289,37625400
46,2010-03-11,8.71,8.785,8.645,8.785,7.170610000000001,21028000
47,2010-03-12,8.745,8.83,8.65,8.71,7.109392999999999,28875200
48,2010-03-15,8.765,8.78,8.66,8.765,7.154289,25120200
49,2010-03-16,8.86,8.87,8.69,8.745,7.137964,39739600
50,2010-03-17,8.7,8.87,8.7,8.79,7.174695,27608000
51,2010-03-18,8.84,8.865,8.735,8.835,7.211424000000001,30982200
52,2010-03-19,8.925,8.935,8.675,8.765,7.154289,48341400
53,2010-03-22,8.705,8.94,8.7,8.89,7.256317999999999,31109800
54,2010-03-23,8.91,9.065,8.855,9.045,7.382833,41655800
55,2010-03-24,8.975,9.115,8.975,9.09,7.419563,35448800
56,2010-03-25,9.12,9.335,9.08,9.22,7.525676,50792000
57,2010-03-26,9.255,9.375,9.13,9.17,7.484862,26237000
58,2010-03-29,9.135,9.29,9.125,9.25,7.550161999999999,29427600
59,2010-03-30,9.205,9.42,9.205,9.37,7.648108000000001,56302000
60,2010-03-31,9.3,9.47,9.285,9.415,7.684838,54720600
61,2010-04-01,9.41,9.52,9.31,9.43,7.697085,38877200
62,2010-04-05,9.405,9.49,9.34,9.41,7.719644000000001,26500200
63,2010-04-06,9.34,9.46,9.29,9.38,7.695034,22708600
64,2010-04-07,9.34,9.405,9.01,9.145,7.502244999999999,61457200
65,2010-04-08,9.09,9.26,9.085,9.215,7.559672,32317400
66,2010-04-09,9.245,9.285,9.205,9.25,7.588386999999999,28661400
67,2010-04-12,9.255,9.36,9.225,9.315,7.641710000000001,25058000
68,2010-04-13,9.305,9.355,9.245,9.335,7.658116000000001,46489200
69,2010-04-14,9.315,9.475,9.24,9.465,7.764765,40990400
70,2010-04-15,9.375,9.5,9.35,9.43,7.736053999999999,44460400
71,2010-04-16,9.42,9.43,9.13,9.16,7.514553,54172000
72,2010-04-19,9.145,9.305,9.125,9.29,7.621200999999999,38145600
73,2010-04-20,9.31,9.36,9.24,9.27,7.604792999999999,33925000
74,2010-04-21,9.265,9.305,9.18,9.265,7.600691,29001600
75,2010-04-22,9.205,9.445,9.13,9.4,7.711441000000001,30899400
76,2010-04-23,9.34,9.49,9.31,9.48,7.777069,30008000
77,2010-04-26,9.44,9.595,9.41,9.54,7.826293,36950800
78,2010-04-27,9.5,9.565,9.185,9.23,7.571977,56558800
79,2010-04-28,9.5,9.6,9.2,9.405,7.715542999999999,78266800
80,2010-04-29,9.42,10.045,9.42,10.0,8.203657000000002,96206000
81,2010-04-30,9.885,9.935,9.73,9.885,8.109319000000001,81865200
82,2010-05-03,9.885,10.28,9.885,10.195,8.363632,69744200
83,2010-05-04,10.135,10.135,9.78,9.935,8.150337,48148400
84,2010-05-05,9.955,10.145,9.765,9.87,8.097009,48834200
85,2010-05-06,9.73,9.745,8.825,9.255,7.592488,116645600
86,2010-05-07,9.21,9.435,9.0,9.18,7.53096,84844400
87,2010-05-10,9.365,9.54,8.865,9.015,7.3956,94692600
88,2010-05-11,8.95,9.295,8.825,9.04,7.416108,84670600
89,2010-05-12,9.02,9.17,8.97,9.09,7.457127000000001,93975600
90,2010-05-13,9.12,9.13,8.805,8.88,7.28485,116282800
91,2010-05-14,8.865,8.885,8.675,8.8,7.21922,59878800
92,2010-05-17,8.815,9.075,8.755,9.05,7.424312,47894800
93,2010-05-18,9.11,9.2,8.8,8.845,7.256137,44139800
94,2010-05-19,8.83,8.885,8.62,8.79,7.211017,44221400
95,2010-05-20,8.635,8.655,8.385,8.395,6.886972999999999,56555800
