,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,11.1625,11.5825,11.1625,11.5575,10.714106,4514800
1,2010-01-05,11.355,11.5625,11.2125,11.5425,10.700199000000001,6313200
2,2010-01-06,11.5625,11.615,11.4425,11.4925,10.653848,4633200
3,2010-01-07,11.4425,11.4425,11.1525,11.39,10.558829,6752800
4,2010-01-08,11.3075,11.37,11.1275,11.365,10.535649000000001,5024800
5,2010-01-11,11.575,11.585,10.8875,11.0725,10.264496000000001,7786000
6,2010-01-12,10.8725,10.89,10.725,10.785,9.997976,4062000
7,2010-01-13,10.84,10.985,10.6325,10.965,10.164844,5404000
8,2010-01-14,11.0,11.1125,10.84,10.9525,10.153257,4032800
9,2010-01-15,10.9375,10.9725,10.6925,10.7475,9.963215,3718000
10,2010-01-19,10.72,10.97,10.72,10.96,10.160208,3827200
11,2010-01-20,10.75,10.875,10.585,10.815,10.025789999999999,4386000
12,2010-01-21,10.8625,11.06,10.6875,10.7475,9.963215,5875600
13,2010-01-22,10.7125,10.78,10.4575,10.4875,9.722187,5751200
14,2010-01-25,10.61,10.785,10.54,10.58,9.807935,2984400
15,2010-01-26,10.415,10.49,10.29,10.3275,9.573862,5162800
16,2010-01-27,10.195,10.2875,9.7775,9.9375,9.21232,9936400
17,2010-01-28,9.995,10.0575,9.5875,9.75,9.038505,5558800
18,2010-01-29,9.8475,9.9875,9.5025,9.5675,8.869324,6362400
19,2010-02-01,9.7175,9.9875,9.715,9.985,9.263614,5766400
20,2010-02-02,10.0225,10.2875,9.82,10.245,9.504835,7289200
21,2010-02-03,10.225,10.325,10.08,10.1125,9.381907,3955600
22,2010-02-04,9.9775,9.9775,9.565,9.6075,8.913391,3502800
23,2010-02-05,9.6075,9.625,9.305,9.6125,8.918028999999999,7260400
24,2010-02-08,9.6175,9.695,9.4075,9.415,8.734798,5448400
25,2010-02-09,9.5825,9.7875,9.53,9.595,8.901796000000001,6408000
26,2010-02-10,9.575,9.64,9.3325,9.58,8.887880000000001,4379600
27,2010-02-11,9.565,9.78,9.4975,9.76,9.054875,5689600
28,2010-02-12,9.585,9.9,9.5275,9.875,9.161566,7223200
29,2010-02-16,10.03,10.26,10.03,10.2075,9.470046,5854800
30,2010-02-17,10.235,10.27,9.9625,10.0975,9.367989999999999,5468400
31,2010-02-18,10.0725,10.25,10.015,10.235,9.495553999999998,6501600
32,2010-02-19,10.2175,10.4225,10.1525,10.33,9.583692999999998,6856000
33,2010-02-22,10.5625,10.7225,10.25,10.2825,9.539626,16485600
34,2010-02-23,10.215,10.2875,9.9125,9.93,9.212591999999999,7316000
35,2010-02-24,9.9725,10.1475,9.9625,10.04,9.314644,8075200
36,2010-02-25,9.85,10.16,9.75,10.1075,9.377267,5284000
37,2010-02-26,10.005,10.1875,9.8775,10.035,9.310005,8014800
38,2010-03-01,10.115,10.2125,10.08,10.1925,9.456128,5256000
39,2010-03-02,10.3225,10.3225,10.145,10.1925,9.456128,5685200
40,2010-03-03,10.2475,10.325,10.1875,10.215,9.477002,3818800
41,2010-03-04,10.215,10.305,9.9625,10.06,9.333198,4626000
42,2010-03-05,10.1775,10.3775,10.14,10.3425,9.595286999999999,4712000
43,2010-03-08,10.4175,10.4925,10.34,10.3475,9.599931,6818800
44,2010-03-09,10.255,10.445,10.17,10.23,9.490917999999999,4858800
45,2010-03-10,10.2025,10.5625,10.1825,10.4325,9.678791,7728800
46,2010-03-11,10.36,10.4275,10.295,10.315,9.569777,3736000
47,2010-03-12,10.3475,10.485,10.3275,10.465,9.708942,5516800
48,2010-03-15,10.41,10.43,10.015,10.2075,9.470046,6594800
49,2010-03-16,10.2275,10.2925,10.0625,10.29,9.546584,5663200
50,2010-03-17,10.32,10.4925,10.2975,10.405,9.653274,6030400
51,2010-03-18,10.2075,10.3325,9.8475,9.88,9.166208000000001,9182800
52,2010-03-19,9.535,9.9825,9.35,9.535,8.846129,12646000
53,2010-03-22,9.43,9.54,9.3375,9.3875,8.709289,11065600
54,2010-03-23,9.39,9.6025,9.3625,9.56,8.869323,7705200
55,2010-03-24,9.47,9.6725,9.3825,9.5425,8.85309,6209200
56,2010-03-25,9.6925,9.6925,9.2225,9.2375,8.570127000000001,7662400
57,2010-03-26,9.2725,9.2725,8.99,9.1,8.442555,10977600
58,2010-03-29,9.1575,9.37,9.1325,9.2825,8.611869,4899200
59,2010-03-30,9.2725,9.2725,9.105,9.16,8.498221000000001,4431200
60,2010-03-31,9.1525,9.3075,9.135,9.2,8.535332,3792800
61,2010-04-01,9.325,9.5,9.325,9.435,8.753353,4922000
62,2010-04-05,9.5075,9.745,9.4425,9.7125,9.010803999999998,4937200
63,2010-04-06,9.6625,9.8075,9.5925,9.7475,9.043277999999999,6576800
64,2010-04-07,9.6975,9.77,9.5,9.545,8.855409,6974400
65,2010-04-08,9.4825,9.625,9.36,9.5975,8.904112,3934400
66,2010-04-09,9.8825,10.0575,9.87,9.99,9.268259,9676000
67,2010-04-12,9.975,10.0225,9.87,9.9075,9.191718,3352800
68,2010-04-13,9.9025,10.1725,9.81,10.11,9.379591,7528000
69,2010-04-14,10.1925,10.2275,9.99,10.1275,9.395824000000001,4869200
70,2010-04-15,10.17,10.2425,10.0675,10.0975,9.367989999999999,5686400
71,2010-04-16,10.02,10.035,9.6775,9.7375,9.034,10386000
72,2010-04-19,9.62,9.6525,9.47,9.645,8.948182000000001,8012400
73,2010-04-20,9.735,9.8,9.65,9.75,9.045594,6862800
74,2010-04-21,9.7675,9.805,9.655,9.745,9.040958,5828400
75,2010-04-22,9.5875,9.89,9.5125,9.8725,9.159249,6106000
76,2010-04-23,9.8975,10.095,9.7375,9.975,9.254342,10192000
77,2010-04-26,9.9975,10.06,9.85,9.8575,9.145328999999998,6965600
78,2010-04-27,9.785,9.86,9.345,9.3875,8.709289,12729200
79,2010-04-28,9.5075,9.6425,9.41,9.5525,8.862364,7514400
80,2010-04-29,9.5025,9.5325,8.85,8.9375,8.2918,21214000
81,2010-04-30,9.1025,9.2375,8.945,9.0325,8.379933,11770000
82,2010-05-03,9.1125,9.3675,9.085,9.315,8.642024000000001,8101600
83,2010-05-04,9.1075,9.135,8.9225,9.105,8.447197000000001,7414400
84,2010-05-05,8.8775,9.0125,8.65,8.7,8.071457,8134000
85,2010-05-06,8.63,8.805,7.5,8.2,7.6075800000000005,19152000
86,2010-05-07,7.995,8.25,7.7525,7.97,7.400962,14374000
87,2010-05-10,8.4225,8.5525,8.2775,8.42,7.818836,7858400
88,2010-05-11,8.28,8.475,8.26,8.2825,7.691153999999999,7743600
89,2010-05-12,8.3175,8.6075,8.3175,8.575,7.9627740000000005,7671200
90,2010-05-13,8.5325,8.7625,8.4075,8.55,7.939553999999999,8287200
91,2010-05-14,8.4225,8.4725,8.255,8.4575,7.853662,12328000
92,2010-05-17,8.4675,8.515,8.09,8.2525,7.663292,10182000
93,2010-05-18,8.4,8.51,8.1925,8.225,7.637760000000001,9501200
94,2010-05-19,8.175,8.27,8.005,8.22,7.633114999999999,10680000
95,2010-05-20,7.94,7.9575,7.6725,7.685,7.136311999999999,9615600
96,2010-05-21,7.5525,7.88,7.415,7.84,7.280245,8294000
97,2010-05-24,7.7925,7.845,7.5775,7.5825,7.041131,5191200
98,2010-05-25,7.3425,7.9075,7.2225,7.875,7.312747,12364000
99,2010-05-26,8.1125,8.2475,8.08,8.1025,7.5240029999999996,10804400
100,2010-05-27,8.29,8.7025,8.29,8.7025,8.081166,9079600
101,2010-05-28,8.65,8.815,8.5125,8.6725,8.053307,9019600
102,2010-06-01,8.47,8.7525,8.21,8.2325,7.644724000000001,8914800
