,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,14.87,14.88,14.5,14.61,12.026126,7552600
1,2010-01-05,14.8,15.16,14.65,15.1,12.429468,7766400
2,2010-01-06,14.85,15.04,14.85,15.0,12.347154,5550200
3,2010-01-07,14.95,15.18,14.85,15.09,12.421236,6492500
4,2010-01-08,15.11,15.15,14.9,15.03,12.371847,4458300
5,2010-01-11,15.14,15.17,14.75,14.84,12.21545,4381800
6,2010-01-12,14.72,14.97,14.68,14.91,12.273069,6587000
7,2010-01-13,14.95,15.09,14.67,15.01,12.355387,4991800
8,2010-01-14,15.05,15.14,14.83,14.97,12.322463,9028000
9,2010-01-15,14.92,15.09,14.56,14.76,12.149596,10835600
10,2010-01-19,14.66,14.87,14.64,14.86,12.231913,6135300
11,2010-01-20,14.79,15.0,14.58,14.82,12.198986,7563600
12,2010-01-21,14.8,14.87,14.22,14.23,11.713333,10771500
13,2010-01-22,14.18,14.19,13.44,13.46,11.079514,14728800
14,2010-01-25,13.88,14.05,13.32,13.48,11.095972999999999,10757000
15,2010-01-26,13.4,13.75,13.27,13.47,11.087747,7834000
16,2010-01-27,13.47,13.88,13.24,13.82,11.375845,9979900
17,2010-01-28,13.99,13.99,13.24,13.51,11.120667,8616700
18,2010-01-29,13.61,13.94,13.54,13.68,11.260598,7099000
19,2010-02-01,13.73,13.8,13.21,13.32,10.964273,8491500
20,2010-02-02,13.62,13.86,13.52,13.8,11.359380999999999,6514700
21,2010-02-03,13.77,13.81,13.25,13.3,10.947807000000001,5784800
22,2010-02-04,13.15,13.33,12.87,12.9,10.618551,7729800
23,2010-02-05,12.92,13.03,12.58,13.01,10.709098,6965100
24,2010-02-08,12.98,13.07,12.72,12.76,10.503311,7751000
25,2010-02-09,12.92,13.18,12.77,13.03,10.725559,4938200
26,2010-02-10,13.04,13.13,12.78,12.92,10.635013,5150600
27,2010-02-11,12.91,13.07,12.78,13.04,10.733794,5211900
28,2010-02-12,12.91,13.06,12.8,13.03,10.725559,5822200
