,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,10.96,11.18,10.87,11.16,9.78364,5799100
1,2010-01-05,11.13,11.59,10.95,11.56,10.134306,10254500
2,2010-01-06,11.45,11.76,11.39,11.66,10.221969,8410300
3,2010-01-07,11.94,12.53,11.92,12.27,10.756738,13808800
4,2010-01-08,12.12,12.31,12.04,12.17,10.669072,5720700
5,2010-01-11,12.29,12.32,12.02,12.24,10.730437,3746100
6,2010-01-12,12.09,12.23,11.85,12.21,10.704142,5982000
7,2010-01-13,12.24,12.57,12.04,12.42,10.888241,6278400
8,2010-01-14,12.33,12.56,12.23,12.25,10.739206,4344800
9,2010-01-15,12.19,12.38,11.94,12.14,10.642774000000001,4686100
10,2010-01-19,12.1,12.5,12.09,12.33,10.809343,4456200
11,2010-01-20,12.16,12.32,12.08,12.13,10.634008,5194600
12,2010-01-21,12.11,12.17,11.52,11.55,10.125539,7275700
13,2010-01-22,11.52,11.86,11.11,11.2,9.818705,11747600
14,2010-01-25,11.3,11.58,11.17,11.37,9.967736,6031100
15,2010-01-26,11.29,11.59,11.2,11.29,9.897604,7266100
16,2010-01-27,11.21,11.72,11.17,11.67,10.230736,9099400
17,2010-01-28,11.78,12.04,11.53,11.79,10.335944,9429800
18,2010-01-29,11.96,12.12,11.77,11.79,10.335944,6786700
19,2010-02-01,11.83,12.04,11.63,11.91,10.441139999999999,6815800
20,2010-02-02,12.79,13.36,12.23,13.21,11.580809,28814200
21,2010-02-03,13.27,13.31,12.81,13.25,11.615876,11711800
22,2010-02-04,13.03,13.34,12.94,13.21,11.580809,13717800
23,2010-02-05,13.08,13.14,12.16,12.67,11.107408,14373500
24,2010-02-08,12.72,13.26,12.47,12.92,11.326581,8691600
25,2010-02-09,13.08,13.16,12.61,12.98,11.379175,8493200
26,2010-02-10,12.97,13.07,12.59,12.85,11.265211,7313100
27,2010-02-11,12.85,13.22,12.7,13.12,11.536022,6525900
28,2010-02-12,13.25,13.42,12.96,13.07,11.492059,8325600
29,2010-02-16,13.3,13.33,13.05,13.22,11.623949,4582500
30,2010-02-17,13.43,13.53,12.94,13.12,11.536022,6917100
31,2010-02-18,12.98,13.03,12.69,12.78,11.237074,7208600
32,2010-02-19,12.74,13.0,12.74,12.95,11.386552,7725200
33,2010-02-22,13.0,13.09,12.77,12.92,11.36017,6202800
34,2010-02-23,12.88,12.98,12.43,12.57,11.052425,9556500
35,2010-02-24,12.63,12.65,12.04,12.34,10.850195,9437600
36,2010-02-25,12.08,12.35,11.96,12.35,10.858985,6001800
37,2010-02-26,12.37,12.45,12.02,12.36,10.867778,5250400
38,2010-03-01,12.37,12.59,12.37,12.56,11.043633,3873800
39,2010-03-02,12.66,12.72,12.4,12.47,10.964499,3805800
40,2010-03-03,12.59,12.8,12.47,12.57,11.052425,5471700
41,2010-03-04,12.59,12.72,12.31,12.49,10.982084,4405000
42,2010-03-05,12.58,12.95,12.55,12.87,11.316206,6497000
43,2010-03-08,12.87,12.99,12.79,12.96,11.395342999999999,2870700
44,2010-03-09,12.91,13.17,12.83,13.09,11.509646,5021400
45,2010-03-10,13.1,13.23,12.9,13.01,11.439304,5013200
46,2010-03-11,12.95,12.98,12.73,12.96,11.395342999999999,4345000
47,2010-03-12,12.99,13.01,12.78,13.0,11.430512,4572100
48,2010-03-15,12.98,13.03,12.64,12.84,11.289831,3530400
49,2010-03-16,12.8,13.15,12.6,13.03,11.456889,5042700
50,2010-03-17,13.05,13.17,12.79,12.89,11.333793,4875300
51,2010-03-18,12.93,12.99,12.66,12.76,11.219485,2937600
52,2010-03-19,12.51,12.93,12.5,12.51,10.99967,5593200
53,2010-03-22,12.4,12.79,12.37,12.75,11.210697,3372300
54,2010-03-23,12.83,12.88,12.65,12.76,11.219485,5137400
55,2010-03-24,12.95,13.07,12.76,12.85,11.29862,5272100
56,2010-03-25,12.91,13.4,12.91,12.97,11.404136,6170100
57,2010-03-26,13.03,13.38,12.97,13.13,11.544818,4400800
58,2010-03-29,13.21,13.23,12.74,13.03,11.456889,5074200
59,2010-03-30,12.99,13.11,12.72,12.8,11.254658000000001,4075900
60,2010-03-31,12.73,12.87,12.53,12.6,11.078803,5407900
61,2010-04-01,12.72,12.81,12.4,12.51,10.99967,4037900
62,2010-04-05,12.62,12.79,12.46,12.59,11.070012,4364500
63,2010-04-06,12.52,12.59,12.32,12.52,11.008460000000001,5590000
64,2010-04-07,12.54,12.55,11.86,11.93,10.489692999999999,11514500
65,2010-04-08,11.9,12.03,11.75,12.01,10.560034,7914900
66,2010-04-09,12.04,12.19,11.98,12.14,10.674339999999999,3870200
67,2010-04-12,12.19,12.24,11.89,12.03,10.577621,6747000
68,2010-04-13,12.04,12.27,12.01,12.18,10.709512,6940000
69,2010-04-14,12.25,12.81,12.24,12.65,11.122767,10183600
