,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,13.315,13.46,13.25,13.395,13.395,535400
1,2010-01-05,13.34,14.02,13.34,13.985,13.985,857400
2,2010-01-06,14.07,14.205,13.92,14.125,14.125,1016000
3,2010-01-07,14.16,14.295,14.065,14.255,14.255,744800
4,2010-01-08,14.19,14.455,14.15,14.455,14.455,1252200
5,2010-01-11,14.46,14.525,14.325,14.365,14.365,1086200
6,2010-01-12,14.28,14.36,13.97,13.98,13.98,1762200
7,2010-01-13,13.985,14.08,13.725,13.955,13.955,1196000
8,2010-01-14,13.905,14.13,13.86,13.9,13.9,531200
9,2010-01-15,14.195,14.515,13.995,14.215,14.215,661200
10,2010-01-19,14.15,14.27,14.075,14.27,14.27,666000
11,2010-01-20,14.185,14.23,14.07,14.095,14.095,385600
12,2010-01-21,14.26,14.325,13.665,13.945,13.945,1457000
13,2010-01-22,13.99,13.99,13.415,13.42,13.42,638000
14,2010-01-25,13.64,13.64,13.28,13.39,13.39,872600
15,2010-01-26,13.415,13.51,13.27,13.435,13.435,514400
16,2010-01-27,13.365,13.45,12.945,13.2,13.2,403400
17,2010-01-28,13.2,13.385,13.045,13.305,13.305,668400
18,2010-01-29,13.325,13.415,13.125,13.13,13.13,986600
19,2010-02-01,13.285,13.34,13.16,13.26,13.26,482800
20,2010-02-02,13.34,13.34,13.12,13.25,13.25,741600
21,2010-02-03,13.25,13.32,13.18,13.205,13.205,503400
22,2010-02-04,13.125,13.13,12.855,12.885,12.885,827200
23,2010-02-05,12.835,12.845,12.48,12.82,12.82,921400
24,2010-02-08,12.865,13.025,12.83,12.865,12.865,3177600
25,2010-02-09,12.975,13.18,12.905,13.11,13.11,1101000
26,2010-02-10,12.935,12.935,12.5,12.665,12.665,1078200
27,2010-02-11,12.71,12.775,12.6,12.7,12.7,581800
28,2010-02-12,12.62,12.9,12.6,12.85,12.85,1006400
29,2010-02-16,12.9,13.025,12.865,12.915,12.915,910600
30,2010-02-17,13.655,13.92,13.5,13.745,13.745,2467800
31,2010-02-18,13.635,13.89,13.635,13.76,13.76,1354800
32,2010-02-19,13.67,14.09,13.655,14.01,14.01,980600
33,2010-02-22,13.99,14.26,13.99,14.115,14.115,1477600
34,2010-02-23,13.795,14.225,13.765,14.1,14.1,1776200
35,2010-02-24,14.21,14.21,13.955,14.065,14.065,1154800
36,2010-02-25,13.925,13.945,13.515,13.655,13.655,1542000
37,2010-02-26,13.645,13.805,13.26,13.275,13.275,15486000
38,2010-03-01,13.325,13.55,13.325,13.46,13.46,5921800
39,2010-03-02,13.44,13.5,13.38,13.42,13.42,2754400
40,2010-03-03,13.4,13.51,13.375,13.38,13.38,1195600
41,2010-03-04,13.425,13.705,13.3,13.615,13.615,910400
42,2010-03-05,13.63,13.9,13.625,13.855,13.855,894000
43,2010-03-08,13.83,14.045,13.815,13.975,13.975,1449600
44,2010-03-09,13.84,14.15,13.84,14.095,14.095,870000
45,2010-03-10,14.055,14.2,13.885,14.085,14.085,762600
46,2010-03-11,14.095,14.245,13.975,14.21,14.21,429400
47,2010-03-12,14.19,14.375,14.105,14.37,14.37,602600
48,2010-03-15,14.315,14.38,14.19,14.325,14.325,587200
49,2010-03-16,14.29,14.455,14.215,14.39,14.39,721600
50,2010-03-17,14.395,14.52,14.35,14.43,14.43,273400
51,2010-03-18,14.405,14.48,14.33,14.375,14.375,806400
52,2010-03-19,14.35,14.6,14.255,14.35,14.35,830600
53,2010-03-22,14.32,14.725,14.22,14.655,14.655,809600
54,2010-03-23,14.565,14.75,14.525,14.69,14.69,1207000
55,2010-03-24,14.7,14.82,14.565,14.81,14.81,723400
56,2010-03-25,14.82,14.995,14.705,14.73,14.73,905200
57,2010-03-26,14.785,14.9,14.69,14.77,14.77,1561400
58,2010-03-29,14.81,15.07,14.685,14.715,14.715,578600
59,2010-03-30,14.75,14.97,14.635,14.9,14.9,2053600
60,2010-03-31,14.81,14.84,14.64,14.705,14.705,1157000
61,2010-04-01,14.72,14.73,14.53,14.66,14.66,1026600
62,2010-04-05,14.725,14.805,14.6,14.79,14.79,563200
63,2010-04-06,14.705,14.985,14.69,14.965,14.965,854400
64,2010-04-07,14.89,14.9,14.7,14.8,14.8,1403200
65,2010-04-08,14.82,14.855,14.69,14.815,14.815,2410800
66,2010-04-09,14.82,15.135,14.795,15.05,15.05,1514600
67,2010-04-12,15.045,15.085,14.905,14.955,14.955,1107800
