,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,8.53,8.68,8.41,8.68,7.380103999999999,401300
1,2010-01-05,8.65,8.77,8.51,8.76,7.448123,479300
2,2010-01-06,8.78,9.07,8.76,9.01,7.660685000000001,883000
3,2010-01-07,9.07,9.39,9.03,9.37,7.966767999999999,585900
4,2010-01-08,9.3,9.37,9.12,9.37,7.966767999999999,381700
5,2010-01-11,9.42,9.45,9.2,9.44,8.02629,657500
6,2010-01-12,9.74,10.4,9.69,9.92,8.434405,2176900
7,2010-01-13,10.15,10.29,9.99,10.28,8.740492,1474700
8,2010-01-14,10.8,11.57,10.7,11.31,9.616241,5085400
9,2010-01-15,11.3,11.4,11.07,11.33,9.633245,1827800
10,2010-01-19,11.38,11.7,11.31,11.42,9.709769999999999,2007900
11,2010-01-20,11.39,11.39,11.1,11.16,9.488706,1559400
12,2010-01-21,11.19,11.24,11.0,11.03,9.378175,1078500
13,2010-01-22,11.02,11.12,10.77,11.07,9.412185000000001,731200
14,2010-01-25,11.4,11.6,11.16,11.22,9.539721,792500
15,2010-01-26,11.18,11.2,10.9,11.0,9.352661999999999,735800
16,2010-01-27,11.05,11.23,10.9,11.17,9.497209,465100
17,2010-01-28,11.25,11.33,10.94,11.12,9.454696,433400
18,2010-01-29,11.19,11.41,11.16,11.3,9.60774,847400
19,2010-02-01,11.38,11.52,11.27,11.36,9.658750999999999,771900
20,2010-02-02,11.37,11.41,10.96,11.12,9.454696,1196600
21,2010-02-03,11.11,11.2,11.03,11.08,9.420688,635000
22,2010-02-04,11.01,11.07,10.57,10.7,9.097595,1065300
23,2010-02-05,10.65,10.84,10.38,10.62,9.029577,716700
24,2010-02-08,10.64,10.86,10.56,10.65,9.055081,568800
25,2010-02-09,10.75,11.2,10.74,11.14,9.471701,765200
26,2010-02-10,11.15,11.25,10.9,11.16,9.488706,561400
27,2010-02-11,11.16,11.49,11.06,11.47,9.752281,613500
28,2010-02-12,11.4,11.54,11.3,11.53,9.803296000000001,725100
29,2010-02-16,11.62,11.85,11.57,11.83,10.058367,550500
30,2010-02-17,11.89,12.29,11.87,12.29,10.44948,801200
31,2010-02-18,12.3,12.36,12.08,12.25,10.415469,886100
32,2010-02-19,12.2,12.5,12.2,12.28,10.440978,853100
33,2010-02-22,12.46,12.48,12.25,12.32,10.474986,571700
34,2010-02-23,12.3,12.36,12.1,12.14,10.321941,644300
35,2010-02-24,12.21,12.5,12.11,12.43,10.568514,581200
36,2010-02-25,12.33,12.5,12.16,12.43,10.568514,667300
37,2010-02-26,12.56,12.78,12.49,12.49,10.619528,900900
38,2010-03-01,12.62,12.84,12.5,12.74,10.832088,1921000
39,2010-03-02,13.17,13.4,12.77,13.39,11.384745,3628900
40,2010-03-03,13.52,14.13,13.44,14.06,11.954408,3585700
41,2010-03-04,14.06,14.06,13.36,13.7,11.648321000000001,2982700
42,2010-03-05,13.7,13.99,13.57,13.89,11.809872,1136700
43,2010-03-08,13.97,14.05,13.77,13.79,11.724839999999999,1485400
44,2010-03-09,13.81,14.26,13.67,14.19,12.064939,2127000
45,2010-03-10,14.0,14.0,13.53,13.57,11.537787,2236000
46,2010-03-11,13.61,13.92,13.5,13.74,11.682333,1385500
47,2010-03-12,13.88,13.94,13.65,13.9,11.818369,687400
48,2010-03-15,13.9,13.98,13.69,13.77,11.707838,753700
