,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,10.17,10.28,10.05,10.28,6.937616,60855800
1,2010-01-05,10.45,11.24,10.4,10.96,7.396526,215620200
2,2010-01-06,11.21,11.46,11.13,11.37,7.67322,200070600
3,2010-01-07,11.46,11.69,11.32,11.66,7.868933,130201700
4,2010-01-08,11.67,11.74,11.46,11.69,7.8891789999999995,130463000
5,2010-01-11,11.9,12.14,11.78,12.11,8.172622,170626200
6,2010-01-12,11.98,12.03,11.72,11.87,8.010653999999999,162995900
7,2010-01-13,11.91,11.93,11.47,11.68,7.882428999999999,154527100
8,2010-01-14,11.65,11.86,11.51,11.76,7.936419,116531200
9,2010-01-15,11.74,11.76,11.55,11.6,7.828439,96149800
10,2010-01-19,11.51,11.83,11.46,11.75,7.929671000000001,65934000
11,2010-01-20,11.68,11.69,11.5,11.51,7.767701,71649500
12,2010-01-21,11.53,11.62,11.01,11.18,7.544998,121451400
13,2010-01-22,11.01,11.12,10.41,10.52,7.099586,161530100
14,2010-01-25,10.73,11.1,10.61,11.03,7.443766,121621500
15,2010-01-26,11.17,11.46,11.07,11.19,7.5517460000000005,108250500
16,2010-01-27,11.57,11.62,11.22,11.55,7.794695,105091600
17,2010-01-28,11.9,11.95,11.27,11.41,7.700218,203320000
18,2010-01-29,11.6,11.61,10.7,10.84,7.3155410000000005,159741200
19,2010-02-01,11.14,11.18,10.93,11.12,7.504503999999999,82748200
20,2010-02-02,11.26,11.52,11.19,11.39,7.686717999999999,119714900
21,2010-02-03,11.49,11.66,11.42,11.64,7.855436999999999,90125500
22,2010-02-04,11.49,11.53,11.0,11.06,7.4640130000000005,129792200
23,2010-02-05,10.97,11.11,10.49,10.91,7.36278,181535200
24,2010-02-08,11.09,11.32,10.88,10.97,7.403275,92031400
25,2010-02-09,11.18,11.22,11.02,11.15,7.52475,83207100
26,2010-02-10,11.12,11.14,10.9,10.94,7.3830279999999995,73395600
27,2010-02-11,11.0,11.19,10.88,11.18,7.544998,65116200
28,2010-02-12,10.92,11.18,10.85,11.12,7.504503999999999,69465400
29,2010-02-16,11.21,11.38,11.11,11.32,7.639475999999999,62537500
30,2010-02-17,11.43,11.52,11.35,11.49,7.754202,65983200
31,2010-02-18,11.41,11.48,11.29,11.38,7.679969,53406800
32,2010-02-19,11.35,11.4,11.26,11.29,7.619231,46990000
33,2010-02-22,11.36,11.38,11.18,11.21,7.565243,41993100
34,2010-02-23,11.18,11.63,11.15,11.6,7.828439,114688400
35,2010-02-24,11.72,11.88,11.65,11.73,7.916172,84200800
36,2010-02-25,11.53,11.83,11.4,11.78,7.949916,83114500
37,2010-02-26,11.83,11.85,11.61,11.74,7.9229210000000005,72368400
38,2010-03-01,11.81,12.42,11.75,12.41,8.37508,142605500
