,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,3.71,3.74,3.65,3.68,2.7211819999999998,10462800
1,2010-01-05,3.68,3.77,3.65,3.76,2.780338,21226600
2,2010-01-06,3.75,3.89,3.72,3.86,2.854284,18761000
3,2010-01-07,3.85,4.35,3.83,4.29,3.172247,66130600
4,2010-01-08,4.23,4.37,4.13,4.22,3.120486,29869600
5,2010-01-11,4.31,4.44,4.21,4.33,3.201825,28307500
6,2010-01-12,4.26,4.42,4.15,4.21,3.113092,25239200
7,2010-01-13,4.21,4.34,4.08,4.31,3.187037,26868200
8,2010-01-14,4.31,4.45,4.27,4.41,3.260982,24295600
9,2010-01-15,4.4,4.41,4.22,4.28,3.164854,17671600
10,2010-01-19,4.27,4.36,4.21,4.3,3.179643,15203200
11,2010-01-20,4.25,4.41,4.23,4.29,3.172247,20893700
12,2010-01-21,4.38,4.75,4.37,4.53,3.3497160000000004,63969900
13,2010-01-22,4.42,4.87,4.25,4.69,3.468029,61227600
14,2010-01-25,4.77,4.94,4.65,4.8,3.5493690000000004,34705900
15,2010-01-26,4.86,4.99,4.6,4.6,3.401478,45439900
16,2010-01-27,4.67,4.9,4.65,4.88,3.608525,34009000
17,2010-01-28,5.08,5.09,4.92,4.99,3.689863,40498900
18,2010-01-29,5.05,5.05,4.74,4.79,3.541972,27561700
19,2010-02-01,4.85,4.94,4.78,4.9,3.623314,18652800
20,2010-02-02,4.88,4.94,4.82,4.93,3.6454980000000003,35142400
21,2010-02-03,4.88,4.9,4.63,4.71,3.482817,41303100
22,2010-02-04,4.66,4.68,4.46,4.54,3.357111,35832300
23,2010-02-05,4.56,4.69,4.4,4.63,3.423662,25099500
24,2010-02-08,4.68,4.73,4.53,4.58,3.38669,17834600
25,2010-02-09,4.66,4.73,4.57,4.65,3.438451,17433300
26,2010-02-10,4.61,4.75,4.61,4.71,3.482817,14027800
27,2010-02-11,4.75,4.81,4.68,4.79,3.541972,16127900
28,2010-02-12,4.71,4.77,4.62,4.68,3.4606339999999998,13711900
29,2010-02-16,4.73,4.82,4.7,4.82,3.564157,14918600
30,2010-02-17,4.83,4.88,4.73,4.76,3.51979,12692100
31,2010-02-18,4.76,4.8,4.69,4.72,3.490211,11941600
32,2010-02-19,4.72,4.85,4.71,4.85,3.5863410000000004,11149600
33,2010-02-22,4.91,4.95,4.88,4.93,3.6454980000000003,16529800
34,2010-02-23,4.89,4.95,4.8,4.81,3.5567629999999997,13714300
35,2010-02-24,4.86,4.94,4.83,4.89,3.6159190000000003,12362900
36,2010-02-25,4.76,4.84,4.75,4.8,3.5493690000000004,10031300
37,2010-02-26,4.8,4.84,4.76,4.81,3.5567629999999997,9186500
38,2010-03-01,4.86,4.88,4.75,4.8,3.5493690000000004,7019800
39,2010-03-02,4.84,4.87,4.79,4.83,3.5715519999999996,11973800
40,2010-03-03,4.84,4.87,4.77,4.81,3.5567629999999997,10153200
41,2010-03-04,4.83,4.84,4.79,4.81,3.5567629999999997,5681800
42,2010-03-05,4.86,4.96,4.82,4.96,3.6676800000000003,14761100
43,2010-03-08,5.0,5.03,4.89,4.96,3.6676800000000003,12788000
44,2010-03-09,4.93,5.14,4.85,5.03,3.719442,21012700
45,2010-03-10,5.19,5.44,5.15,5.25,3.8821220000000003,39935500
46,2010-03-11,5.3,5.62,5.29,5.4,3.993039,54603100
47,2010-03-12,5.58,5.62,5.4,5.47,4.0448010000000005,26892500
48,2010-03-15,5.43,5.45,5.27,5.41,4.000433999999999,22332300
49,2010-03-16,5.48,5.53,5.42,5.53,4.096741000000001,18207300
50,2010-03-17,5.64,5.81,5.6,5.76,4.267129,32758400
51,2010-03-18,5.81,5.81,5.47,5.5,4.074515,32948700
52,2010-03-19,5.51,5.55,5.29,5.32,3.9411680000000002,37237600
53,2010-03-22,5.19,5.52,5.14,5.47,4.052291,22213500
