,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,6.07,6.22,6.07,6.175,5.045701,3658400
1,2010-01-05,6.18,6.2675,6.1275,6.195,5.062043,2300400
2,2010-01-06,6.2225,6.23,6.1525,6.2225,5.0845139999999995,1973200
3,2010-01-07,6.195,6.275,6.0875,6.11,4.992589,3284000
4,2010-01-08,6.1125,6.2025,6.0525,6.1825,5.051829,2953600
5,2010-01-11,6.2375,6.365,6.1475,6.16,5.0334449999999995,2662800
6,2010-01-12,6.0925,6.1125,5.8975,5.9725,4.8802330000000005,3633600
7,2010-01-13,6.005,6.0475,5.8825,6.03,4.927219,4270000
8,2010-01-14,5.995,6.11,5.9775,6.095,4.980331,1902800
9,2010-01-15,6.1,6.135,5.955,5.9875,4.892491000000001,1762000
10,2010-01-19,6.0125,6.035,5.9425,5.9825,4.888406,3280800
11,2010-01-20,5.9125,5.9425,5.5875,5.8625,4.790351,9663600
12,2010-01-21,5.865,5.9475,5.77,5.7725,4.716811,4024800
13,2010-01-22,5.7725,5.8925,5.7025,5.72,4.673911,2408000
14,2010-01-25,5.795,5.8,5.68,5.725,4.6779980000000005,2163600
15,2010-01-26,5.705,5.82,5.6925,5.75,4.698426,2957200
16,2010-01-27,5.7425,5.84,5.6975,5.79,4.731112,3150000
17,2010-01-28,5.625,6.0525,5.6125,5.945,4.8577639999999995,7434400
18,2010-01-29,5.97,6.0225,5.7275,5.7425,4.692297,3995200
19,2010-02-01,5.76,5.8275,5.6725,5.7925,4.733152,3008400
20,2010-02-02,5.7875,5.825,5.7125,5.7975,4.737238,3220800
21,2010-02-03,5.775,5.775,5.6075,5.655,4.620801,3061200
22,2010-02-04,5.6075,5.6075,5.4,5.4175,4.426734,3843600
23,2010-02-05,5.4025,5.455,5.2375,5.4375,4.4430760000000005,4368400
24,2010-02-08,5.46,5.57,5.3975,5.45,4.45329,2963200
25,2010-02-09,5.5425,5.65,5.5125,5.59,4.5676879999999995,2731600
26,2010-02-10,5.6025,5.725,5.5775,5.6675,4.6310150000000005,3033200
27,2010-02-11,5.64,5.7775,5.605,5.7575,4.704555,1676800
28,2010-02-12,5.7,5.88,5.6425,5.88,4.804651,3217200
29,2010-02-16,5.915,5.9775,5.8575,5.935,4.849593,2158000
30,2010-02-17,5.9375,6.0575,5.915,6.0025,4.904749,2915600
31,2010-02-18,6.0075,6.0625,5.995,6.0225,4.9210910000000005,2444000
32,2010-02-19,6.02,6.1275,5.9975,6.0675,4.95786,2002400
33,2010-02-22,6.075,6.17,6.075,6.1425,5.019145,2502800
34,2010-02-23,6.16,6.27,6.05,6.0775,4.966032,4073200
35,2010-02-24,6.12,6.225,6.0775,6.2125,5.0763419999999995,3300000
36,2010-02-25,6.1175,6.28,6.09,6.26,5.115155000000001,3001200
37,2010-02-26,6.25,6.555,6.2475,6.4825,5.296964,5360800
38,2010-03-01,6.5075,6.5775,6.4625,6.5525,5.354163,4155200
39,2010-03-02,6.565,6.6275,6.5325,6.62,5.409318,3745600
40,2010-03-03,6.6475,6.66,6.47,6.535,5.3398639999999995,2436400
41,2010-03-04,6.5575,6.6675,6.53,6.58,5.376635,1379200
42,2010-03-05,6.61,6.6825,6.58,6.665,5.446089,2158000
43,2010-03-08,6.6425,6.7675,6.61,6.735,5.503286,2644000
44,2010-03-09,6.715,6.8025,6.715,6.7625,5.525758000000001,1665600
45,2010-03-10,6.7425,6.8375,6.7025,6.835,5.584998000000001,2190800
46,2010-03-11,6.7625,6.8175,6.7275,6.78,5.540057,2520000
47,2010-03-12,6.8,6.8075,6.7,6.7725,5.5339279999999995,2686400
48,2010-03-15,6.7775,6.7775,6.6625,6.7325,5.501245,1644400
49,2010-03-16,6.735,6.7925,6.69,6.7525,5.517587000000001,1630400
50,2010-03-17,6.7825,6.8525,6.765,6.8375,5.587041999999999,1506000
51,2010-03-18,6.825,6.875,6.8,6.82,5.572741000000001,1400000
52,2010-03-19,6.71,6.8325,6.69,6.71,5.482858,2748800
53,2010-03-22,6.645,7.02,6.6375,6.96,5.687139,2503200
54,2010-03-23,6.955,7.0125,6.8925,7.0025,5.721864,1592400
55,2010-03-24,6.9425,6.9875,6.84,6.93,5.662625,1878000
56,2010-03-25,7.0175,7.095,6.875,6.885,5.625854,1461200
57,2010-03-26,6.8875,7.0775,6.885,7.0075,5.725953,1483200
58,2010-03-29,7.025,7.1,6.925,7.035,5.748422,2206800
59,2010-03-30,7.035,7.08,6.9175,7.005,5.723908,1400800
60,2010-03-31,6.995,7.0525,6.935,6.955,5.683053,2121600
61,2010-04-01,6.9925,7.075,6.9625,7.0525,5.762722,1418800
62,2010-04-05,7.0725,7.3075,7.0325,7.25,5.9241019999999995,1414000
63,2010-04-06,7.1975,7.3875,7.125,7.3225,5.983343,2918800
64,2010-04-07,7.325,7.3525,7.2125,7.2675,5.938402,1553200
65,2010-04-08,7.22,7.3775,7.15,7.31,5.97313,3105600
66,2010-04-09,7.3175,7.385,7.2975,7.3825,6.0323720000000005,1109600
67,2010-04-12,7.3725,7.3925,7.2925,7.3425,5.999686,2347200
68,2010-04-13,7.3075,7.325,7.205,7.26,5.932273,2662800
69,2010-04-14,7.315,7.4825,7.2375,7.4675,6.101826,4050800
70,2010-04-15,7.4575,7.4675,7.3075,7.415,6.058927,1611200
71,2010-04-16,7.365,7.4275,7.22,7.335,5.993556,2109200
72,2010-04-19,7.295,7.445,7.1775,7.2725,5.942487,3052000
73,2010-04-20,7.325,7.415,7.255,7.275,5.94453,4891600
74,2010-04-21,7.3,7.58,7.285,7.46,6.095696,4615200
75,2010-04-22,7.56,7.8625,7.555,7.6975,6.2897620000000005,11234400
76,2010-04-23,7.7125,7.78,7.635,7.7025,6.2938480000000006,4677600
77,2010-04-26,7.735,7.735,7.45,7.535,6.156981,3426000
78,2010-04-27,7.4675,7.535,7.2625,7.29,5.9567879999999995,3999200
79,2010-04-28,7.315,7.375,7.165,7.2475,5.92206,3019600
80,2010-04-29,7.2975,7.385,7.2225,7.3525,6.007858000000001,2586800
81,2010-04-30,7.365,7.45,7.1175,7.1175,5.815835,1829600
82,2010-05-03,7.1325,7.3525,7.1225,7.28,5.948616,1771600
83,2010-05-04,7.18,7.18,6.9575,7.03,5.744337000000001,2296000
84,2010-05-05,6.9375,7.185,6.835,6.8625,5.607471,2565200
85,2010-05-06,6.8375,7.0025,6.2575,6.8225,5.574783999999999,7900000
86,2010-05-07,6.7925,6.8025,6.3675,6.585,5.380718,8207600
87,2010-05-10,6.9475,7.035,6.8125,6.93,5.662625,5206400
88,2010-05-11,6.845,7.1075,6.8,7.0025,5.721864,2866000
89,2010-05-12,7.0225,7.245,6.975,7.235,5.911846,2260400
90,2010-05-13,7.205,7.28,7.05,7.1025,5.803577,1591600
91,2010-05-14,7.07,7.095,6.91,7.0075,5.725953,2679200
92,2010-05-17,7.0525,7.09,6.6875,6.9425,5.672838,2583600
93,2010-05-18,7.0,7.125,6.785,6.8275,5.578869,3153200
94,2010-05-19,6.81,6.905,6.5975,6.7725,5.5339279999999995,3415600
95,2010-05-20,6.5875,6.6825,6.45,6.5275,5.333735,4495200
96,2010-05-21,6.39,6.6825,6.2775,6.66,5.442003,3077600
97,2010-05-24,6.6375,6.6975,6.5725,6.595,5.388889,1621600
98,2010-05-25,6.4225,6.6625,6.3025,6.6375,5.423617,3937600
99,2010-05-26,6.6825,6.7875,6.58,6.6725,5.452216,2755200
100,2010-05-27,6.84,6.95,6.795,6.9425,5.672838,1597600
101,2010-05-28,6.9075,6.9425,6.7475,6.82,5.572741000000001,2426000
102,2010-06-01,6.7575,6.8825,6.6825,6.685,5.462431,2746800
103,2010-06-02,6.7125,6.8425,6.625,6.8425,5.591128,2108800
104,2010-06-03,6.85,6.9975,6.8325,6.985,5.707566,2572800
105,2010-06-04,6.86,6.9,6.65,6.7075,5.480816,3024400
106,2010-06-07,6.7075,6.7375,6.55,6.6025,5.3950190000000005,2871600
107,2010-06-08,6.6,6.7225,6.43,6.7075,5.480816,4084800
108,2010-06-09,6.735,6.98,6.71,6.7775,5.5380139999999995,2300800
109,2010-06-10,6.9075,7.09,6.905,7.075,5.781105999999999,2300000
110,2010-06-11,6.97,7.1725,6.91,7.125,5.821962999999999,2283200
111,2010-06-14,7.19,7.3275,7.1375,7.18,5.866904,1781600
112,2010-06-15,7.2475,7.3225,7.1125,7.3025,5.967001,2610800
113,2010-06-16,7.2275,7.235,7.145,7.2075,5.889374,2912800
114,2010-06-17,7.22,7.26,7.0825,7.115,5.813791999999999,3036400
115,2010-06-18,7.1125,7.21,7.085,7.14,5.834219999999999,2501200
116,2010-06-21,7.2175,7.225,6.8825,6.91,5.646282,2748400
117,2010-06-22,6.9075,6.9275,6.56,6.5625,5.362335,2992400
118,2010-06-23,6.575,6.6,6.4375,6.54,5.343948,3216800
119,2010-06-24,6.4875,6.4925,6.24,6.3025,5.149883,5076800
120,2010-06-25,6.315,6.3225,6.2,6.2375,5.096769999999999,6304800
121,2010-06-28,6.3025,6.5175,6.16,6.2375,5.096769999999999,5986000
122,2010-06-29,6.1375,6.2375,5.9075,5.99,4.894533999999999,11092800
123,2010-06-30,5.9675,6.115,5.9325,6.015,4.914962,4762000
124,2010-07-01,5.995,6.18,5.86,6.15,5.025272,4993600
125,2010-07-02,6.1475,6.2,5.9775,6.075,4.963989,4070000
126,2010-07-06,6.1575,6.2575,5.9,5.935,4.849593,3700800
127,2010-07-07,5.9425,6.115,5.9075,6.1125,4.994631,5018800
128,2010-07-08,6.1625,6.2225,6.0275,6.135,5.013017,4359600
129,2010-07-09,6.1325,6.26,6.0725,6.2525,5.109026999999999,2225200
130,2010-07-12,6.2175,6.295,6.08,6.1875,5.055916000000001,1657200
131,2010-07-13,6.2625,6.4875,6.2625,6.4625,5.280622,2833600
