,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,13.125,13.695,13.005,13.685,8.254347000000001,1826600
1,2010-01-05,13.725,14.95,13.65,14.57,8.788151,3336200
2,2010-01-06,14.55,14.725,14.19,14.535,8.767036000000001,2168400
3,2010-01-07,14.52,14.615,14.235,14.54,8.770054,1169800
4,2010-01-08,14.365,14.57,14.295,14.425,8.700688000000001,869000
5,2010-01-11,14.53,14.79,13.875,14.07,8.486564999999999,1903400
6,2010-01-12,13.84,13.84,13.4,13.54,8.166886,1919200
7,2010-01-13,13.465,13.465,12.74,13.335,8.043236,1875400
8,2010-01-14,13.33,13.455,13.12,13.335,8.043236,897000
9,2010-01-15,13.38,13.485,13.175,13.455,8.11562,887800
10,2010-01-19,13.405,13.575,13.385,13.5,8.142759,1417400
11,2010-01-20,13.265,13.56,13.21,13.515,8.151807000000002,1273200
12,2010-01-21,13.44,13.675,13.265,13.33,8.04022,1963800
13,2010-01-22,13.25,13.43,13.025,13.05,7.871335,1546200
14,2010-01-25,13.075,13.21,12.985,13.055,7.8743479999999995,891000
15,2010-01-26,12.98,13.25,12.83,13.155,7.934667,1409000
16,2010-01-27,13.18,13.185,12.855,13.17,7.943711,1236600
17,2010-01-28,13.31,13.31,12.835,13.05,7.871335,1538800
18,2010-01-29,13.165,13.5,12.975,13.05,7.871335,1845400
19,2010-02-01,13.16,13.67,13.115,13.62,8.21514,1570200
20,2010-02-02,13.7,14.295,13.52,14.25,8.595134,2093600
21,2010-02-03,14.22,14.25,13.81,13.905,8.387039,1846000
22,2010-02-04,13.775,13.775,13.34,13.35,8.052282,1146000
23,2010-02-05,13.315,13.32,12.745,13.24,7.985933999999999,1612200
24,2010-02-08,13.27,13.335,12.99,13.11,7.907526,1035400
25,2010-02-09,13.235,13.465,13.03,13.39,8.076412,1154400
26,2010-02-10,13.305,13.585,13.075,13.565,8.181964,988000
27,2010-02-11,13.495,13.61,13.29,13.455,8.11562,707400
28,2010-02-12,13.16,13.635,13.12,13.635,8.224188,1077200
29,2010-02-16,13.89,14.205,13.715,14.165,8.543863,753800
30,2010-02-17,14.17,14.305,13.9,14.06,8.480535,905800
31,2010-02-18,14.09,14.255,13.975,14.215,8.574023,1511000
32,2010-02-19,14.11,14.345,14.075,14.275,8.610215,567600
33,2010-02-22,14.405,14.44,14.005,14.17,8.546880999999999,1187600
34,2010-02-23,14.095,14.16,13.7,13.855,8.356883,794400
35,2010-02-24,14.02,14.165,13.825,14.065,8.483547,1034200
36,2010-02-25,13.805,13.805,12.635,12.975,7.826096000000001,5131200
37,2010-02-26,12.97,13.145,12.7,12.84,7.744671,2360200
38,2010-03-01,12.82,12.85,12.565,12.74,7.684353,1321600
39,2010-03-02,12.755,13.045,12.74,13.02,7.8532399999999996,1195200
40,2010-03-03,13.01,13.625,12.935,13.555,8.175932000000001,3890200
41,2010-03-04,13.555,13.935,13.495,13.885,8.374978,1529800
42,2010-03-05,13.955,14.09,13.87,14.035,8.465454,1501200
43,2010-03-08,14.035,14.145,13.795,13.835,8.34482,1064000
44,2010-03-09,13.64,14.1,13.635,13.925,8.399104,1973400
45,2010-03-10,13.89,14.885,13.74,14.81,8.932908,3600600
46,2010-03-11,14.795,15.43,14.455,14.585,8.797193,3478200
47,2010-03-12,14.745,14.785,14.265,14.685,8.857514,1587000
48,2010-03-15,14.675,14.84,14.135,14.195,8.561958,1453200
49,2010-03-16,14.3,14.415,14.105,14.255,8.59815,1365600
50,2010-03-17,14.35,14.545,14.24,14.365,8.6645,1381800
51,2010-03-18,14.25,14.28,13.79,13.825,8.382555,1249800
52,2010-03-19,13.72,13.91,13.375,13.72,8.318891,1821600
53,2010-03-22,13.565,14.095,13.49,14.055,8.522008999999999,988000
54,2010-03-23,14.03,14.28,14.03,14.13,8.567485000000001,1160800
55,2010-03-24,13.985,14.695,13.975,14.66,8.888842,1461200
56,2010-03-25,14.8,14.94,14.175,14.22,8.622057,2107000
57,2010-03-26,14.25,14.295,13.875,13.905,8.431059,945400
