,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,7.45,7.62,7.4,7.53,5.57908,4444300
1,2010-01-05,7.54,7.54,7.41,7.45,5.519807,6134700
2,2010-01-06,7.4,7.46,7.32,7.45,5.519807,5586100
3,2010-01-07,7.37,7.45,7.19,7.26,5.379035,6202400
4,2010-01-08,7.27,7.3,7.08,7.27,5.386444,6480800
5,2010-01-11,7.25,7.47,7.22,7.47,5.534626,5290500
6,2010-01-12,7.41,7.41,7.23,7.29,5.401262,4630700
7,2010-01-13,7.31,7.45,7.19,7.38,5.467944,3504500
8,2010-01-14,7.4,7.46,7.14,7.22,5.349396,11506600
9,2010-01-15,7.17,7.24,6.98,7.16,5.304943,8729100
10,2010-01-19,7.18,7.21,7.07,7.12,5.275306,3647900
11,2010-01-20,7.03,7.16,6.95,7.15,5.297534,5044800
12,2010-01-21,7.24,7.33,6.98,7.01,5.1938059999999995,6134600
13,2010-01-22,6.99,7.02,6.81,6.85,5.075259,5634000
14,2010-01-25,6.94,6.94,6.76,6.78,5.023394000000001,3630100
15,2010-01-26,6.73,6.82,6.63,6.66,4.934483999999999,4701300
16,2010-01-27,6.61,6.63,6.38,6.47,4.7937129999999994,9869000
17,2010-01-28,6.5,6.67,6.46,6.52,4.830758,5829200
18,2010-01-29,6.56,6.61,6.41,6.46,4.786303,6768800
19,2010-02-01,6.52,6.65,6.47,6.6,4.89003,7124600
20,2010-02-02,6.63,6.76,6.52,6.72,4.978940000000001,6027600
21,2010-02-03,6.73,6.88,6.59,6.69,4.956713,5255000
22,2010-02-04,6.63,6.67,6.37,6.41,4.749257,6372200
23,2010-02-05,6.57,6.57,6.21,6.39,4.734438,10450500
24,2010-02-08,6.44,6.51,6.29,6.35,4.704803,7221600
25,2010-02-09,6.44,6.5,6.31,6.4,4.741847,8394300
26,2010-02-10,6.36,6.66,6.33,6.5,4.815939,7902000
27,2010-02-11,6.49,6.76,6.4,6.73,4.986349,6257700
28,2010-02-12,6.7,6.74,6.6,6.72,4.978940000000001,5480200
29,2010-02-16,6.82,6.9,6.77,6.87,5.090077,4281600
30,2010-02-17,6.84,7.02,6.84,6.98,5.171579,5921900
31,2010-02-18,6.98,7.12,6.92,7.09,5.2530779999999995,4649300
32,2010-02-19,7.05,7.19,7.02,7.11,5.2678970000000005,3164100
33,2010-02-22,7.15,7.18,6.96,7.06,5.230853,3209600
34,2010-02-23,7.07,7.07,6.76,6.85,5.075259,6859700
35,2010-02-24,6.86,6.96,6.76,6.82,5.053033,8647700
