,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,10.265,10.325,10.22,10.24,7.659544,12718800
1,2010-01-05,10.25,10.275,10.085,10.12,7.569783,19904000
2,2010-01-06,10.12,10.17,10.005,10.125,7.573521,25134000
3,2010-01-07,10.125,10.235,10.035,10.225,7.648325,21133400
4,2010-01-08,10.23,10.23,10.06,10.13,7.577263,20974200
5,2010-01-11,10.11,10.19,10.07,10.17,7.607183,14955600
6,2010-01-12,10.23,10.465,10.2,10.355,7.745562,21871200
7,2010-01-13,10.405,10.45,10.11,10.315,7.715644999999999,17547800
8,2010-01-14,10.28,10.35,10.225,10.315,7.715644999999999,13050000
9,2010-01-15,10.325,10.36,10.245,10.36,7.749303,16530400
10,2010-01-19,10.335,10.555,10.325,10.545,7.887681,17032000
11,2010-01-20,10.515,10.82,10.44,10.795,8.074684,24235600
12,2010-01-21,10.745,10.915,10.705,10.76,8.048505,29565400
13,2010-01-22,10.725,10.98,10.675,10.885,8.142007000000001,28954000
14,2010-01-25,10.905,10.955,10.83,10.91,8.160703,19007800
15,2010-01-26,10.82,10.92,10.765,10.8,8.078424,14440800
16,2010-01-27,10.805,10.875,10.635,10.765,8.052245,15561000
17,2010-01-28,10.655,10.845,10.62,10.67,7.981185000000001,11232400
18,2010-01-29,10.675,10.805,10.66,10.715,8.014844,14122200
19,2010-02-01,10.765,10.85,10.7,10.745,8.037284,12513800
20,2010-02-02,10.775,10.875,10.655,10.815,8.089647,14047400
21,2010-02-03,10.775,10.84,10.72,10.76,8.048505,13558600
22,2010-02-04,10.705,10.82,10.565,10.58,7.9138649999999995,21101000
23,2010-02-05,10.575,10.68,10.5,10.59,7.921342,15802000
24,2010-02-08,10.585,10.655,10.475,10.565,7.902645,12450600
25,2010-02-09,10.7,10.705,10.605,10.685,7.9924029999999995,10143600
26,2010-02-10,10.64,10.7,10.59,10.615,8.011274,9254800
27,2010-02-11,10.58,10.75,10.56,10.72,8.090516000000001,11000000
28,2010-02-12,10.665,10.735,10.63,10.68,8.06033,9158200
29,2010-02-16,10.745,10.805,10.67,10.79,8.143346000000001,8427600
30,2010-02-17,10.855,10.98,10.815,10.865,8.199952,13549800
31,2010-02-18,10.805,11.03,10.78,11.0,8.301835,12215600
32,2010-02-19,10.95,11.075,10.935,11.045,8.335801,10295800
33,2010-02-22,11.04,11.135,11.0,11.05,8.33957,9430400
34,2010-02-23,11.02,11.06,10.815,10.845,8.184854,13706600
35,2010-02-24,10.855,10.96,10.78,10.945,8.260328999999999,9683800
