,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,11.4,11.46,11.09,11.18,10.363508,9625000
1,2010-01-05,11.25,11.79,11.2,11.77,10.910418,13355100
2,2010-01-06,11.76,11.79,11.38,11.42,10.585979,10523900
3,2010-01-07,11.39,11.74,11.27,11.59,10.743567,10055100
4,2010-01-08,11.54,11.64,11.23,11.33,10.502552,7894500
5,2010-01-11,11.35,11.57,11.23,11.46,10.623062,5987200
6,2010-01-12,11.37,11.58,11.26,11.33,10.502552,6162800
7,2010-01-13,11.32,11.65,11.26,11.53,10.687945,5798800
8,2010-01-14,11.5,11.59,11.37,11.46,10.623062,4768700
9,2010-01-15,11.49,11.54,11.2,11.28,10.456208,6296700
10,2010-01-19,11.26,11.5,11.21,11.3,10.474749000000001,6703200
11,2010-01-20,11.24,11.38,10.91,11.33,10.502552,12862100
12,2010-01-21,11.51,11.76,11.12,11.68,10.826989999999999,23729200
13,2010-01-22,11.78,11.97,11.53,11.68,10.826989999999999,14307800
14,2010-01-25,11.63,11.94,11.15,11.32,10.493284,15228900
15,2010-01-26,11.18,11.95,11.1,11.61,10.762101,12293100
16,2010-01-27,11.6,11.6,10.98,11.39,10.558171000000002,14414100
17,2010-01-28,11.46,11.74,11.36,11.45,10.613788000000001,12265800
18,2010-01-29,11.49,11.75,11.3,11.33,10.502552,10968500
19,2010-02-01,11.37,11.64,11.31,11.57,10.725024000000001,7690200
20,2010-02-02,11.62,11.74,11.46,11.55,10.706485,11319700
21,2010-02-03,11.51,11.63,11.39,11.47,10.632328999999999,8359700
22,2010-02-04,11.38,11.53,11.03,11.03,10.224463,12613300
23,2010-02-05,11.04,11.34,11.02,11.29,10.465474,12133600
24,2010-02-08,11.31,11.39,11.1,11.25,10.428395,7988800
25,2010-02-09,11.35,11.85,11.35,11.65,10.799182,13597100
26,2010-02-10,11.61,11.77,11.37,11.54,10.697219,11550400
27,2010-02-11,11.51,12.0,11.51,11.88,11.012388,14928300
28,2010-02-12,11.89,12.04,11.81,12.04,11.160702,13841000
29,2010-02-16,12.1,12.45,12.02,12.45,11.540761,10677900
30,2010-02-17,12.45,12.45,12.07,12.29,11.392446000000001,8076000
31,2010-02-18,12.3,12.49,12.29,12.44,11.531487,9945300
32,2010-02-19,12.38,12.69,12.34,12.43,11.522221,11230200
33,2010-02-22,12.45,12.73,12.45,12.5,11.587111,10156200
34,2010-02-23,12.51,12.61,12.34,12.4,11.494411,11993800
35,2010-02-24,12.42,12.62,12.34,12.44,11.531487,11230000
36,2010-02-25,12.37,12.5,12.2,12.43,11.522221,6476800
37,2010-02-26,12.4,12.7,12.4,12.58,11.661266,7985500
38,2010-03-01,12.59,12.89,12.59,12.71,11.781771,10934300
39,2010-03-02,12.81,12.85,12.62,12.63,11.71222,8712700
40,2010-03-03,12.66,12.74,12.55,12.55,11.638036,9701900
41,2010-03-04,12.6,12.69,12.54,12.6,11.684402,9861300
42,2010-03-05,12.61,12.75,12.55,12.68,11.758586,10028900
43,2010-03-08,12.68,12.84,12.5,12.55,11.638036,9748300
44,2010-03-09,12.6,12.85,12.55,12.68,11.758586,12231800
45,2010-03-10,12.7,13.08,12.66,12.82,11.888413,11039700
46,2010-03-11,12.75,12.94,12.66,12.84,11.90696,8684200
47,2010-03-12,12.88,13.06,12.76,13.0,12.055332,9520500
48,2010-03-15,12.99,13.08,12.77,13.0,12.055332,10012400
49,2010-03-16,13.01,13.34,13.01,13.18,12.222251,9229900
50,2010-03-17,13.18,13.25,12.96,13.03,12.083155999999999,7235200
51,2010-03-18,13.02,13.28,13.02,13.06,12.110975,7053800
52,2010-03-19,12.81,13.21,12.73,12.81,11.879142,10408300
53,2010-03-22,12.75,13.06,12.71,12.93,11.990419000000001,7060300
54,2010-03-23,12.96,13.08,12.8,13.03,12.083155999999999,6042500
55,2010-03-24,13.03,13.1,12.84,13.0,12.055332,5795900
56,2010-03-25,13.05,13.3,13.03,13.07,12.120244999999999,6766100
57,2010-03-26,13.08,13.22,12.84,13.05,12.101701,9135200
58,2010-03-29,13.11,13.26,13.09,13.18,12.222251,7169500
59,2010-03-30,13.22,13.26,12.92,13.09,12.138796000000001,5799800
60,2010-03-31,13.06,13.42,13.06,13.22,12.259349,8113800
61,2010-04-01,13.37,13.43,13.1,13.21,12.250073,7826300
62,2010-04-05,13.28,13.37,13.08,13.16,12.203707000000001,7981900
63,2010-04-06,13.11,13.45,13.1,13.45,12.472635,9833100
64,2010-04-07,13.41,13.47,13.18,13.3,12.333533000000001,14908500
65,2010-04-08,13.43,13.55,13.37,13.4,12.426266,10384500
66,2010-04-09,13.44,13.44,13.21,13.3,12.333533000000001,10548100
67,2010-04-12,13.34,13.48,13.26,13.35,12.3799,8588000
68,2010-04-13,13.38,13.43,13.14,13.34,12.370628,6900100
69,2010-04-14,13.32,13.58,13.3,13.5,12.519001,7695800
70,2010-04-15,13.43,13.56,13.36,13.54,12.556091,9572700
71,2010-04-16,13.5,13.53,13.21,13.38,12.407722,9006800
72,2010-04-19,13.58,13.95,13.5,13.75,12.750834,15923800
73,2010-04-20,13.82,13.95,13.5,13.74,12.741561,10432400
74,2010-04-21,13.82,13.82,13.4,13.58,12.593182,10535500
75,2010-04-22,13.56,13.68,13.22,13.44,12.463361,11900800
76,2010-04-23,13.48,13.97,13.45,13.96,12.945573,9828200
77,2010-04-26,13.89,13.97,13.53,13.57,12.583915,14974500
78,2010-04-27,13.6,13.61,13.14,13.18,12.222251,13680900
79,2010-04-28,13.28,13.38,13.12,13.23,12.268616999999999,10956400
80,2010-04-29,13.35,13.59,13.32,13.42,12.444813,10696200
81,2010-04-30,13.45,13.49,13.17,13.18,12.222251,9388600
82,2010-05-03,13.32,13.45,13.2,13.4,12.426266,12614000
83,2010-05-04,13.27,13.31,12.87,13.01,12.064608,10092900
84,2010-05-05,12.97,13.4,12.81,13.03,12.083155999999999,15068800
85,2010-05-06,13.23,13.23,11.9,12.58,11.665855,15622000
86,2010-05-07,12.57,12.98,12.3,12.39,11.48966,16301500
87,2010-05-10,12.83,12.97,12.75,12.96,12.018241,8185400
88,2010-05-11,12.82,12.92,12.57,12.86,11.925509,9920400
89,2010-05-12,12.88,13.18,12.86,13.14,12.185161,9007000
90,2010-05-13,13.13,13.35,12.86,12.89,11.953325999999999,8129200
91,2010-05-14,12.88,12.94,12.63,12.78,11.851318,8655300
92,2010-05-17,12.81,12.98,12.59,12.89,11.953325999999999,8054200
93,2010-05-18,12.97,13.03,12.61,12.64,11.721494,8656600
94,2010-05-19,12.58,12.62,12.14,12.28,11.387652000000001,13401800
95,2010-05-20,12.04,12.1,11.67,11.67,10.821981,11533400
96,2010-05-21,11.5,11.96,11.36,11.91,11.044538000000001,10371800
97,2010-05-24,11.87,12.04,11.81,11.85,10.988903,6802100
98,2010-05-25,11.54,12.16,11.45,12.16,11.276372,14016400
99,2010-05-26,12.19,12.55,12.11,12.3,11.406201,13468100
100,2010-05-27,12.56,12.64,12.39,12.64,11.721494,6323300
101,2010-05-28,12.64,12.64,12.31,12.44,11.536026,8796100
102,2010-06-01,12.3,12.47,12.19,12.2,11.31347,8680400
103,2010-06-02,12.4,12.62,12.34,12.62,11.70295,7003800
104,2010-06-03,12.7,12.77,12.41,12.61,11.693672,8917700
105,2010-06-04,12.34,12.38,11.98,12.02,11.146547,8929200
106,2010-06-07,12.03,12.03,11.61,11.66,10.817206,10398000
107,2010-06-08,11.74,11.92,11.59,11.89,11.030582,8015000
108,2010-06-09,11.93,12.21,11.78,11.84,10.984196,9334800
109,2010-06-10,12.07,12.19,11.97,12.05,11.179016,8294000
110,2010-06-11,11.91,12.12,11.84,12.07,11.197571,7337100
111,2010-06-14,12.25,12.39,12.01,12.04,11.169742,7904000
112,2010-06-15,12.11,12.36,12.08,12.35,11.457332000000001,9283700
113,2010-06-16,12.27,12.34,12.03,12.09,11.216126,5783000
114,2010-06-17,12.1,12.38,11.97,12.37,11.475889,9015800
115,2010-06-18,12.36,12.4,12.13,12.26,11.373837,7188100
116,2010-06-21,12.37,12.45,12.11,12.2,11.318175,6845600
117,2010-06-22,12.19,12.32,11.85,11.87,11.012027,6035200
118,2010-06-23,11.87,11.98,11.65,11.84,10.984196,5360100
119,2010-06-24,11.79,11.95,11.65,11.68,10.83576,6276900
120,2010-06-25,11.7,11.74,11.48,11.64,10.79865,7782600
121,2010-06-28,11.58,11.75,11.51,11.61,10.770817,6263900
122,2010-06-29,11.47,11.47,11.06,11.11,10.306964,7296800
123,2010-06-30,11.11,11.33,11.06,11.11,10.306964,7743800
124,2010-07-01,11.05,11.33,10.71,10.99,10.195632000000002,8917700
125,2010-07-02,11.03,11.05,10.59,10.75,9.972980999999999,5719600
126,2010-07-06,11.01,11.01,10.55,10.63,9.861657000000001,8779200
127,2010-07-07,10.58,11.3,10.42,11.29,10.473951,9879100
128,2010-07-08,11.32,11.52,11.32,11.43,10.603831,8956400
129,2010-07-09,11.42,11.7,11.42,11.59,10.752267,6138700
130,2010-07-12,11.5,11.92,11.5,11.86,11.002748,9074300
131,2010-07-13,12.0,12.16,11.93,12.1,11.225406,7928000
132,2010-07-14,12.0,12.23,11.79,12.06,11.188293,7487200
133,2010-07-15,12.02,12.03,11.78,12.03,11.16046,7701100
134,2010-07-16,11.92,12.01,11.73,11.76,10.909977,6927300
135,2010-07-19,11.8,11.8,11.2,11.5,10.66877,11930700
136,2010-07-20,11.33,11.48,11.22,11.47,10.640941,9922500
137,2010-07-21,11.57,11.65,11.3,11.37,10.548167,6480200
138,2010-07-22,11.56,11.82,11.51,11.69,10.845039,6251500
139,2010-07-23,11.68,11.89,11.59,11.82,10.965641,7791900
140,2010-07-26,11.92,12.11,11.79,12.07,11.197571,9002000
141,2010-07-27,12.14,12.2,11.94,12.0,11.132632000000001,6161200
142,2010-07-28,12.0,12.14,11.91,12.01,11.141907000000002,4587300
143,2010-07-29,12.35,12.39,11.82,12.01,11.141907000000002,5862900
144,2010-07-30,11.79,12.12,11.72,12.05,11.179016,4833600
145,2010-08-02,12.14,12.32,12.06,12.31,11.420227,4916500
146,2010-08-03,12.25,12.28,11.97,12.07,11.197571,5026200
147,2010-08-04,12.12,12.28,12.05,12.15,11.27179,5607900
148,2010-08-05,12.05,12.25,12.0,12.06,11.188293,3050400
149,2010-08-06,11.93,12.11,11.8,11.95,11.086242,4141900
150,2010-08-09,11.98,12.15,11.95,12.14,11.262511,4438700
151,2010-08-10,12.0,12.04,11.68,11.9,11.039859,6103600
152,2010-08-11,11.7,11.7,11.42,11.43,10.603831,4565500
153,2010-08-12,11.21,11.6,11.12,11.43,10.603831,5090000
154,2010-08-13,11.38,11.49,11.29,11.4,10.576001,2976900
155,2010-08-16,11.32,11.46,11.23,11.34,10.520336,3330300
156,2010-08-17,11.46,11.57,11.38,11.5,10.66877,2548300
157,2010-08-18,11.49,11.63,11.4,11.54,10.705879,3981100
158,2010-08-19,11.46,11.55,11.06,11.2,10.390455000000001,6323800
159,2010-08-20,11.1,11.28,11.02,11.27,10.455399,4780800
160,2010-08-23,11.3,11.46,11.04,11.05,10.251299000000001,4878500
161,2010-08-24,10.9,11.13,10.78,11.01,10.218815,6790600
162,2010-08-25,10.9,11.01,10.78,10.94,10.153839999999999,7676100
163,2010-08-26,10.97,11.11,10.76,10.82,10.042468,6700100
164,2010-08-27,10.88,11.15,10.77,11.13,10.330189,5395300
165,2010-08-30,11.12,11.24,10.88,10.99,10.200248,5557100
166,2010-08-31,10.97,11.17,10.87,11.05,10.255939,5100900
167,2010-09-01,11.2,11.54,11.17,11.5,10.6736,6164000
168,2010-09-02,11.54,11.65,11.35,11.53,10.701444,5153000
169,2010-09-03,11.66,11.7,11.48,11.57,10.738569,3955200
