,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,20.709999,20.709999,20.33,20.49,14.260054,2541100
1,2010-01-05,20.5,20.549999,20.1,20.209999,14.065188000000001,3906700
2,2010-01-06,20.120001000000002,20.4,19.91,19.99,13.912079,3572000
3,2010-01-07,19.9,19.969998999999998,19.43,19.879998999999998,13.835526000000002,3251500
4,2010-01-08,19.879998999999998,20.030001000000002,19.75,20.0,13.919039000000001,2567600
5,2010-01-11,19.860001,20.049999,19.620001000000002,19.83,13.800726999999998,2615000
6,2010-01-12,19.75,19.75,19.0,19.02,13.237004,4269700
7,2010-01-13,19.27,19.51,18.65,19.34,13.459709,5571700
8,2010-01-14,19.23,19.32,19.02,19.27,13.410992000000002,2798200
9,2010-01-15,19.41,19.41,18.549999,18.65,12.979506,4633700
10,2010-01-19,18.690001000000002,18.969998999999998,18.530001000000002,18.860001,13.125653,3249900
11,2010-01-20,18.75,18.959999,18.34,18.889999,13.146532,4838600
12,2010-01-21,18.91,19.34,18.49,18.74,13.042135,3931300
13,2010-01-22,18.74,18.809998999999998,17.879998999999998,17.950001,12.492336,4929700
14,2010-01-25,17.9,18.27,17.83,18.120001000000002,12.610649,2916000
15,2010-01-26,17.959999,18.299999,17.780001000000002,17.950001,12.492336,2751900
16,2010-01-27,17.790001,18.42,17.610001,18.4,12.805513000000001,4812400
17,2010-01-28,18.389999,18.42,17.48,18.120001000000002,12.610649,8101100
18,2010-01-29,18.969998999999998,19.040001,17.280001000000002,17.48,12.165236,9718500
19,2010-02-01,17.6,17.91,17.52,17.9,12.457539,6741500
20,2010-02-02,18.0,18.389999,17.889999,18.34,12.763757,5278700
21,2010-02-03,18.209999,18.41,17.91,18.17,12.645445,3933900
22,2010-02-04,17.93,17.93,17.26,17.41,12.116522999999999,4700400
23,2010-02-05,17.42,17.77,17.280001000000002,17.66,12.290511,4998600
24,2010-02-08,17.91,17.93,17.450001,17.629998999999998,12.269634,2808100
25,2010-02-09,17.84,17.959999,17.530001000000002,17.790001,12.380982000000001,3160800
26,2010-02-10,17.719998999999998,18.1,17.65,17.969998999999998,12.506255,3185000
27,2010-02-11,17.92,18.32,17.66,18.129998999999998,12.617612,4247000
28,2010-02-12,17.780001000000002,18.370001000000002,17.709999,18.26,12.708081,2930700
29,2010-02-16,18.299999,18.68,18.200001,18.67,12.993421000000001,2957300
30,2010-02-17,18.620001000000002,18.620001000000002,18.1,18.440001000000002,12.972321,2218300
31,2010-02-18,18.469998999999998,18.870001000000002,18.370001000000002,18.77,13.204469,2555100
32,2010-02-19,18.719998999999998,18.84,18.5,18.719998999999998,13.169293,2099900
33,2010-02-22,18.85,18.940001000000002,18.620001000000002,18.780001000000002,13.211507000000001,1822000
34,2010-02-23,18.780001000000002,18.84,18.120001000000002,18.209999,12.810513,2583500
35,2010-02-24,18.34,18.73,18.309998999999998,18.690001000000002,13.148187,2629900
36,2010-02-25,18.370001000000002,18.49,18.139999,18.49,13.007492999999998,3146300
37,2010-02-26,18.450001,18.6,18.120001000000002,18.52,13.0286,3942900
38,2010-03-01,18.639999,18.92,18.59,18.860001,13.267782,2077700
39,2010-03-02,18.889999,19.049999,18.75,18.84,13.253712,2182700
40,2010-03-03,18.84,19.08,18.65,18.700001,13.155226,1573600
41,2010-03-04,18.66,18.799999,18.48,18.780001000000002,13.211507000000001,2062600
42,2010-03-05,18.780001000000002,19.1,18.709999,19.02,13.380339999999999,2148200
43,2010-03-08,19.040001,19.15,18.879998999999998,18.91,13.302957999999999,1583800
44,2010-03-09,18.74,19.030001000000002,18.709999,18.92,13.309994,2240200
45,2010-03-10,18.92,19.32,18.92,19.290001,13.570286,1812100
46,2010-03-11,19.190001000000002,19.190001000000002,18.93,19.139999,13.464762,1839900
47,2010-03-12,19.15,19.26,19.040001,19.110001,13.443658,2591900
