,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,5.36,5.47,5.33,5.42,4.31175,11754800
1,2010-01-05,5.36,5.61,5.36,5.6,4.454944,23691300
2,2010-01-06,5.61,5.69,5.55,5.67,4.51063,22415300
3,2010-01-07,5.66,6.22,5.62,6.17,4.908393,41430700
4,2010-01-08,6.15,6.29,6.07,6.18,4.916348,25980300
5,2010-01-11,6.27,6.37,6.07,6.32,5.027724,27433000
6,2010-01-12,6.26,6.35,6.2,6.25,4.972037,32974200
7,2010-01-13,6.22,6.48,6.08,6.36,5.059545,41055600
8,2010-01-14,6.34,6.57,6.3,6.55,5.210694,31881500
9,2010-01-15,6.5,6.55,6.27,6.52,5.186828,28504300
10,2010-01-19,6.41,6.56,6.36,6.51,5.178873,22996900
11,2010-01-20,6.46,6.74,6.41,6.73,5.35389,32758200
12,2010-01-21,6.78,7.27,6.76,6.86,5.457306,81428500
13,2010-01-22,6.8,6.85,6.49,6.6,5.250469,48623600
14,2010-01-25,6.6,6.69,6.3,6.55,5.210694,34139700
15,2010-01-26,6.25,6.47,6.06,6.08,4.836798,67534400
16,2010-01-27,6.05,6.34,6.05,6.17,4.908393,38492200
17,2010-01-28,6.35,6.55,6.19,6.43,5.11523,38907900
18,2010-01-29,6.49,6.57,6.32,6.35,5.051588,29037400
19,2010-02-01,6.41,6.66,6.39,6.64,5.282291000000001,30603000
20,2010-02-02,6.69,6.78,6.5,6.58,5.234559,35671900
21,2010-02-03,6.48,6.55,6.28,6.39,5.08341,34371800
22,2010-02-04,6.33,6.34,6.03,6.12,4.8686169999999995,41144000
23,2010-02-05,6.13,6.24,5.91,6.18,4.916348,24816400
24,2010-02-08,6.18,6.44,6.06,6.23,4.956126,25259900
25,2010-02-09,6.32,6.45,6.25,6.29,5.003857,21901600
26,2010-02-10,6.27,6.48,6.25,6.36,5.059545,18117800
27,2010-02-11,6.42,6.51,6.36,6.38,5.075454,19687200
28,2010-02-12,6.32,6.39,6.21,6.35,5.051588,22126400
29,2010-02-16,6.41,6.65,6.36,6.62,5.266381,17782600
30,2010-02-17,6.66,6.7,6.42,6.46,5.139098000000001,16534700
31,2010-02-18,6.41,6.46,6.31,6.42,5.107275,18949400
32,2010-02-19,6.4,6.62,6.39,6.57,5.226605,14485500
33,2010-02-22,6.6,6.87,6.57,6.81,5.41753,23729800
34,2010-02-23,6.73,6.76,6.5,6.53,5.194783999999999,20854700
35,2010-02-24,6.55,6.7,6.53,6.64,5.282291000000001,20217300
36,2010-02-25,6.48,6.57,6.4,6.54,5.202738,18802500
37,2010-02-26,6.54,6.77,6.5,6.75,5.3698,19859000
38,2010-03-01,6.76,6.83,6.55,6.65,5.290247,16291900
39,2010-03-02,6.67,6.75,6.56,6.61,5.258425,16207600
40,2010-03-03,6.61,6.69,6.59,6.62,5.266381,12900100
41,2010-03-04,6.6,6.7,6.58,6.67,5.306158,11836200
42,2010-03-05,6.74,6.85,6.69,6.84,5.441397,18875100
43,2010-03-08,6.82,7.02,6.82,6.98,5.55277,19023600
44,2010-03-09,6.93,7.0,6.76,6.91,5.497082,22997500
45,2010-03-10,7.01,7.62,6.94,7.29,5.799382,40783500
46,2010-03-11,7.34,7.46,7.25,7.38,5.870979,24929300
47,2010-03-12,7.51,7.54,7.27,7.34,5.8391589999999995,29002600
48,2010-03-15,7.28,7.38,7.11,7.23,5.751651,19977400
49,2010-03-16,7.3,7.53,7.21,7.51,5.982673999999999,22336300
50,2010-03-17,7.6,7.77,7.55,7.7,6.1340330000000005,25224500
51,2010-03-18,7.73,7.74,7.34,7.5,5.9747069999999995,26623500
52,2010-03-19,7.38,7.6,7.32,7.38,5.879111,22666300
53,2010-03-22,7.29,7.64,7.16,7.62,6.070302,19801300
54,2010-03-23,7.62,7.74,7.5,7.73,6.157932,23056900
55,2010-03-24,7.68,7.9,7.62,7.85,6.253526,26987400
56,2010-03-25,7.97,8.05,7.65,7.69,6.126066000000001,35378100
57,2010-03-26,7.75,7.91,7.56,7.63,6.078269000000001,22603200
58,2010-03-29,7.69,7.78,7.52,7.64,6.086235,17755000
59,2010-03-30,7.61,7.65,7.5,7.62,6.070302,12744700
60,2010-03-31,7.55,7.88,7.52,7.85,6.253526,21527100
61,2010-04-01,7.9,7.94,7.66,7.77,6.189794999999999,20835000
62,2010-04-05,7.93,8.2,7.84,8.19,6.524379,28483800
63,2010-04-06,8.18,8.81,8.16,8.55,6.811166,58256900
64,2010-04-07,8.62,8.9,8.29,8.37,6.6677729999999995,54566600
65,2010-04-08,8.27,8.68,8.2,8.6,6.850999000000001,32548400
66,2010-04-09,8.65,8.71,8.5,8.59,6.843031,17760100
67,2010-04-12,8.58,8.92,8.58,8.74,6.962524,49794500
68,2010-04-13,8.54,8.66,8.34,8.34,6.643875,38303500
69,2010-04-14,8.51,8.9,8.44,8.82,7.026253,36670800
70,2010-04-15,8.8,8.87,8.45,8.53,6.7952330000000005,39132300
71,2010-04-16,8.6,8.6,8.01,8.3,6.612008,55336900
72,2010-04-19,8.2,8.44,8.04,8.33,6.6359070000000004,29882900
73,2010-04-20,8.25,8.8,8.0,8.8,7.010324000000001,58631800
74,2010-04-21,8.62,9.33,8.5,8.79,7.002357000000001,60841600
75,2010-04-22,8.65,8.95,8.57,8.89,7.082017,28106700
76,2010-04-23,8.95,9.14,8.8,8.95,7.129817,27691000
77,2010-04-26,9.01,9.05,8.6,8.69,6.922692,21155500
78,2010-04-27,8.62,8.7,8.37,8.43,6.715571000000001,39730200
79,2010-04-28,8.56,8.74,8.44,8.49,6.763369,22352500
80,2010-04-29,8.56,8.72,8.43,8.65,6.89083,24888900
81,2010-04-30,8.59,8.89,8.54,8.84,7.042186999999999,30368300
82,2010-05-03,8.85,8.96,8.71,8.84,7.042186999999999,20912900
83,2010-05-04,8.74,8.83,8.5,8.58,6.835067,25258700
