,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,11.66,11.665,11.455,11.525,9.632850999999999,16370000
1,2010-01-05,11.48,12.0,11.445,11.795,9.858523,30058800
2,2010-01-06,11.74,11.81,11.63,11.71,9.787477,14209600
3,2010-01-07,11.64,11.765,11.595,11.68,9.762405000000001,10256000
4,2010-01-08,11.6,11.8,11.595,11.64,9.728971000000001,10274800
5,2010-01-11,11.685,11.685,11.435,11.605,9.699715,11387000
6,2010-01-12,11.45,11.595,11.25,11.41,9.536729,15429600
7,2010-01-13,11.45,11.75,11.385,11.69,9.770757000000001,15098400
8,2010-01-14,11.62,11.8,11.605,11.775,9.841804,15517400
9,2010-01-15,11.865,11.875,11.455,11.635,9.724791,21862600
10,2010-01-19,11.7,11.9,11.58,11.79,9.854341999999999,18908200
11,2010-01-20,11.87,11.9,11.425,11.645,9.733147,33950400
12,2010-01-21,12.06,12.225,11.665,11.84,9.896134,53670800
13,2010-01-22,11.815,11.915,11.425,11.455,9.574342,24557600
14,2010-01-25,11.5,11.53,11.135,11.2,9.361206,24673800
15,2010-01-26,11.105,11.37,11.085,11.27,9.419713,22492600
16,2010-01-27,11.27,11.285,11.065,11.205,9.365386,21200200
17,2010-01-28,11.25,11.315,10.93,11.04,9.227477,28730400
18,2010-01-29,11.06,11.265,10.875,10.895,9.106283,18741800
19,2010-02-01,10.995,11.135,10.885,11.115,9.290161999999999,13498800
20,2010-02-02,11.075,11.245,10.955,11.225,9.382102,15336200
21,2010-02-03,11.195,11.245,11.05,11.215,9.373745,14938600
22,2010-02-04,11.13,11.195,10.895,10.905,9.114639,19542400
23,2010-02-05,10.895,11.02,10.63,10.85,9.068669,22069800
24,2010-02-08,10.83,11.075,10.705,10.955,9.156431,15988600
25,2010-02-09,11.075,11.15,10.83,11.095,9.273448,20816200
26,2010-02-10,11.02,11.265,11.02,11.185,9.348666999999999,20032800
27,2010-02-11,11.13,11.34,10.965,11.28,9.428075999999999,18518200
28,2010-02-12,11.035,11.34,11.03,11.3,9.444791,15750800
29,2010-02-16,11.345,11.44,11.235,11.44,9.561802,16820000
30,2010-02-17,11.535,11.65,11.485,11.575,9.67464,12950400
31,2010-02-18,11.605,11.66,11.505,11.63,9.720609,9300600
32,2010-02-19,11.585,11.73,11.585,11.68,9.762405000000001,9731800
33,2010-02-22,11.665,11.68,11.41,11.45,9.570164,16983800
34,2010-02-23,11.38,11.455,11.235,11.34,9.478222,16508400
35,2010-02-24,11.375,11.54,11.355,11.54,9.645391,12921000
36,2010-02-25,11.325,11.49,11.215,11.45,9.570164,18623800
37,2010-02-26,11.46,11.495,11.34,11.455,9.574342,12100000
38,2010-03-01,11.465,11.67,11.455,11.645,9.733147,12703000
39,2010-03-02,11.59,11.7,11.54,11.665,9.749865,17122200
40,2010-03-03,11.65,11.69,11.47,11.53,9.637027,11035000
41,2010-03-04,11.525,11.585,11.435,11.46,9.578521,12892600
42,2010-03-05,11.52,11.695,11.435,11.685,9.766582000000001,12328800
43,2010-03-08,11.635,11.795,11.625,11.66,9.745685,8997200
44,2010-03-09,11.75,11.875,11.6,11.81,9.871058,13357200
45,2010-03-10,11.765,12.135,11.755,12.115,10.125986,24464200
46,2010-03-11,12.02,12.335,12.02,12.135,10.142697,17979000
47,2010-03-12,12.135,12.24,12.07,12.14,10.14688,12833400
48,2010-03-15,12.15,12.25,12.12,12.21,10.20539,11841800
49,2010-03-16,12.475,12.685,12.43,12.645,10.56897,33800200
50,2010-03-17,12.685,12.83,12.565,12.78,10.681805,21365000
51,2010-03-18,12.725,12.75,12.485,12.51,10.456135,21413600
52,2010-03-19,12.485,12.575,12.375,12.485,10.435236,22038600
53,2010-03-22,12.39,12.69,12.175,12.62,10.548076,16329600
