,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,18.57,18.969998999999998,18.4,18.889999,11.535281,11116900
1,2010-01-05,18.860001,19.040001,18.43,18.52,11.309334,14536200
2,2010-01-06,18.43,18.639999,18.219998999999998,18.389999,11.229948,7171200
3,2010-01-07,18.4,18.41,17.940001000000002,18.040001,11.016222,8556300
4,2010-01-08,17.58,18.08,17.48,17.889999,10.924622,11329000
5,2010-01-11,18.26,18.65,18.219998999999998,18.35,11.205525,11497500
6,2010-01-12,18.27,18.440001000000002,17.57,17.719998999999998,10.820814,11522800
7,2010-01-13,17.950001,18.299999,17.59,18.190001000000002,11.107822,8800200
8,2010-01-14,18.16,18.49,18.01,18.34,11.19942,6398700
9,2010-01-15,18.309998999999998,18.6,17.530001000000002,17.77,10.851345,13716200
10,2010-01-19,17.879998999999998,18.27,17.77,18.16,11.089499,7802900
11,2010-01-20,18.15,18.18,17.459999,17.76,10.845238,16283900
12,2010-01-21,19.84,20.299999,19.34,19.49,11.901672,35144100
13,2010-01-22,19.370001000000002,19.620001000000002,18.27,18.4,11.236058,20111600
14,2010-01-25,18.790001,19.059998999999998,18.59,18.92,11.553596,15582000
15,2010-01-26,18.889999,19.620001000000002,18.76,19.309998999999998,11.791754,16018200
16,2010-01-27,19.219998999999998,19.43,18.68,19.08,11.651303,15416200
17,2010-01-28,19.190001000000002,19.280001000000002,18.139999,18.360001,11.211636,14128500
18,2010-01-29,18.35,18.51,16.469998999999998,16.709999,10.20405,28653200
19,2010-02-01,17.23,17.98,17.059998999999998,17.9,10.930733,18205800
20,2010-02-02,17.879998999999998,18.6,17.780001000000002,18.58,11.345975,17569900
21,2010-02-03,18.370001000000002,18.870001000000002,18.26,18.84,11.504745,16905200
22,2010-02-04,18.17,18.48,17.780001000000002,18.02,11.004009,21505800
23,2010-02-05,18.1,18.190001000000002,17.469998999999998,18.02,11.004009,23836800
24,2010-02-08,18.049999,18.74,17.84,18.18,11.101714,14937100
25,2010-02-09,18.559998999999998,18.74,18.219998999999998,18.33,11.193316000000001,12415000
26,2010-02-10,18.360001,18.66,18.17,18.48,11.284912,9770100
27,2010-02-11,18.49,18.83,18.190001000000002,18.76,11.455898,8142000
28,2010-02-12,18.549999,18.870001000000002,18.15,18.700001,11.419252,11482500
29,2010-02-16,18.799999,19.84,18.799999,19.73,12.048228,19036400
30,2010-02-17,19.940001000000002,20.049999,19.549999,20.0,12.213107,13328300
31,2010-02-18,19.879998999999998,20.809998999999998,19.719998999999998,20.73,12.658886,17442500
32,2010-02-19,20.549999,20.940001000000002,20.4,20.51,12.524541000000001,15071300
33,2010-02-22,20.530001000000002,20.870001000000002,20.379998999999998,20.73,12.658886,10665100
34,2010-02-23,20.639999,20.719998999999998,20.030001000000002,20.33,12.414621,11630800
35,2010-02-24,20.379998999999998,20.73,19.4,19.5,11.907779,27780900
36,2010-02-25,19.16,19.540001,18.610001,19.49,11.901672,28118900
37,2010-02-26,19.67,20.0,19.4,19.91,12.158151,9090300
38,2010-03-01,20.1,21.450001,20.0,21.35,13.037492,20620200
39,2010-03-02,21.5,21.58,20.91,21.01,12.829873,13412000
40,2010-03-03,20.75,20.84,19.610001,19.629998999999998,11.987164,25207200
41,2010-03-04,19.809998999999998,19.82,19.139999,19.73,12.048228,15528100
42,2010-03-05,19.84,20.1,19.51,19.92,12.164257000000001,10340300
43,2010-03-08,20.190001000000002,20.24,19.639999,19.889999,12.145931,9933400
44,2010-03-09,19.879998999999998,20.139999,19.5,19.6,11.968845,12782500
45,2010-03-10,19.719998999999998,19.9,19.0,19.17,11.706263,25708800
46,2010-03-11,18.799999,19.27,18.389999,19.23,11.7429,26402500
47,2010-03-12,19.35,19.35,18.85,19.27,11.767325999999999,14388000
48,2010-03-15,19.139999,19.16,18.58,18.780001000000002,11.468107,11815100
49,2010-03-16,18.98,19.25,18.67,19.129998999999998,11.681838,11810000
50,2010-03-17,19.209999,19.59,19.02,19.32,11.797858999999999,11421100
51,2010-03-18,19.41,19.52,19.200001,19.32,11.797858999999999,6879500
52,2010-03-19,19.4,19.469998999999998,18.77,18.93,11.559705000000001,12289900
53,2010-03-22,18.790001,19.940001000000002,18.67,19.709999,12.036017999999999,15350900
54,2010-03-23,19.76,20.610001,19.690001000000002,20.450001,12.487902,20338400
55,2010-03-24,20.25,20.299999,20.0,20.030001000000002,12.231425,10619300
56,2010-03-25,20.17,20.27,19.620001000000002,19.620001000000002,11.981061,10167400
57,2010-03-26,19.209999,19.360001,18.799999,18.93,11.559705000000001,21547800
58,2010-03-29,19.120001000000002,19.379998999999998,18.83,18.9,11.541386,10719000
59,2010-03-30,18.83,18.93,18.129998999999998,18.17,11.095606,25804100
60,2010-03-31,17.969998999999998,18.610001,17.879998999999998,18.26,11.150568,12664100
61,2010-04-01,18.52,18.6,17.879998999999998,18.110001,11.058969,11090900
62,2010-04-05,18.32,18.6,18.18,18.48,11.284912,14810100
63,2010-04-06,18.41,19.23,18.299999,19.059998999999998,11.63909,15020600
64,2010-04-07,18.84,19.0,18.440001000000002,18.85,11.510850999999999,15168200
65,2010-04-08,18.84,18.870001000000002,18.389999,18.68,11.407043,9454200
66,2010-04-09,18.83,19.17,18.690001000000002,19.139999,11.687942999999999,7965900
67,2010-04-12,19.1,19.450001,19.030001000000002,19.08,11.651303,10932500
68,2010-04-13,18.879998999999998,19.139999,18.32,18.379998999999998,11.223844,21400400
69,2010-04-14,18.6,19.58,18.58,19.27,11.767325999999999,25927400
70,2010-04-15,19.110001,19.91,19.08,19.690001000000002,12.023807000000001,13541700
71,2010-04-16,19.59,19.950001,19.02,19.25,11.755116000000001,14669500
72,2010-04-19,19.0,19.1,18.58,19.09,11.657411,11932900
73,2010-04-20,19.24,19.440001000000002,18.84,19.33,11.803965,13691300
74,2010-04-21,20.07,20.32,19.299999,19.540001,11.932203999999999,28733300
75,2010-04-22,19.4,19.870001000000002,19.030001000000002,19.690001000000002,12.023807000000001,11872000
76,2010-04-23,19.82,20.9,19.82,20.77,12.683311,24285900
77,2010-04-26,20.809998999999998,20.83,20.27,20.459999,12.494007,10002200
78,2010-04-27,20.23,20.33,19.52,19.629998999999998,11.987164,15216000
79,2010-04-28,19.719998999999998,19.84,19.110001,19.469998999999998,11.889459,16226500
80,2010-04-29,19.459999,19.540001,18.98,19.139999,11.687942999999999,18822600
81,2010-04-30,19.18,19.209999,18.299999,18.35,11.205525,15765500
82,2010-05-03,18.540001,19.16,18.51,18.950001,11.571919,14079600
83,2010-05-04,18.92,18.950001,18.370001000000002,18.9,11.541386,18722100
84,2010-05-05,18.66,19.030001000000002,18.139999,18.360001,11.211636,23427400
85,2010-05-06,18.23,18.67,16.01,17.85,10.900198,28243000
86,2010-05-07,17.76,18.33,17.23,17.75,10.839134,27272200
87,2010-05-10,18.540001,18.799999,18.299999,18.48,11.284912,15719900
88,2010-05-11,18.4,18.860001,18.24,18.4,11.236058,12584800
89,2010-05-12,18.42,19.1,18.42,18.99,11.596343,10215300
90,2010-05-13,18.790001,19.200001,18.4,18.530001000000002,11.315444,11340100
91,2010-05-14,18.25,18.32,17.73,17.98,10.979583,12244100
92,2010-05-17,18.120001000000002,18.469998999999998,17.43,17.84,10.89409,15089400
93,2010-05-18,18.02,18.139999,16.75,17.059998999999998,10.417782,25750900
94,2010-05-19,17.0,17.42,16.450001,16.620001000000002,10.149089,23430600
95,2010-05-20,16.110001,16.540001,15.83,16.1,9.831553,18181500
96,2010-05-21,15.97,17.48,15.64,16.35,9.984216,19087900
97,2010-05-24,16.17,16.49,16.059998999999998,16.139999,9.855978,11175200
98,2010-05-25,15.49,15.59,14.92,15.52,9.477371,31640500
99,2010-05-26,15.78,16.040001,14.8,14.86,9.074338000000001,26563700
100,2010-05-27,15.37,15.88,14.86,15.68,9.575075,20741300
101,2010-05-28,15.67,15.68,15.06,15.36,9.379666,13729100
102,2010-06-01,15.21,15.46,14.44,14.46,8.830076,18220800
103,2010-06-02,14.54,15.43,14.54,15.38,9.39188,17530400
104,2010-06-03,15.41,16.040001,15.22,15.94,9.733846,21297100
105,2010-06-04,15.42,15.77,15.05,15.15,9.251430000000001,13224900
106,2010-06-07,15.13,15.28,14.5,14.52,8.866717,13745600
107,2010-06-08,14.38,14.85,14.19,14.41,8.799541,18049200
108,2010-06-09,14.55,15.1,14.45,14.49,8.848393,18944900
109,2010-06-10,14.88,14.95,14.5,14.88,9.086553,11341200
110,2010-06-11,14.78,15.0,14.46,14.75,9.007164999999999,14204800
111,2010-06-14,15.0,15.31,14.82,14.9,9.098764,12525500
112,2010-06-15,15.24,15.66,15.03,15.62,9.538437,11074900
113,2010-06-16,15.57,15.71,15.34,15.47,9.446836,8879600
