,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,10.18,10.6,10.08,10.4,10.4,3666400
1,2010-01-05,10.38,10.49,10.11,10.47,10.47,4442300
2,2010-01-06,10.46,10.66,10.33,10.44,10.44,2829400
3,2010-01-07,10.39,10.43,9.99,10.39,10.39,2655500
4,2010-01-08,10.33,10.49,10.27,10.42,10.42,2143400
5,2010-01-11,10.5,10.82,10.41,10.68,10.68,3858200
6,2010-01-12,10.56,10.56,10.14,10.19,10.19,2808300
7,2010-01-13,10.25,10.37,10.05,10.36,10.36,1691100
8,2010-01-14,10.3,10.38,10.12,10.15,10.15,1403500
9,2010-01-15,10.2,10.29,9.92,10.08,10.08,2084500
10,2010-01-19,10.06,10.25,9.83,9.95,9.95,3223100
11,2010-01-20,9.9,9.98,9.53,9.73,9.73,3587600
12,2010-01-21,9.81,9.89,9.36,9.37,9.37,2600600
13,2010-01-22,9.88,9.88,9.25,9.29,9.29,2730300
14,2010-01-25,9.3,9.35,8.97,9.12,9.12,3342700
15,2010-01-26,9.06,9.29,9.06,9.2,9.2,2461700
16,2010-01-27,9.15,9.37,9.13,9.33,9.33,1938400
17,2010-01-28,9.34,9.42,9.08,9.28,9.28,1946700
18,2010-01-29,9.75,9.75,9.25,9.28,9.28,4289600
19,2010-02-01,9.29,9.41,9.28,9.34,9.34,1705400
20,2010-02-02,9.32,9.4,9.2,9.34,9.34,1847300
21,2010-02-03,9.33,9.82,9.33,9.6,9.6,4273300
22,2010-02-04,9.55,9.76,9.15,9.25,9.25,2636800
23,2010-02-05,9.27,9.35,9.09,9.29,9.29,2604200
24,2010-02-08,9.33,9.54,9.18,9.45,9.45,1760700
25,2010-02-09,9.56,9.66,9.35,9.52,9.52,1960200
26,2010-02-10,9.5,9.74,9.48,9.71,9.71,1729500
27,2010-02-11,9.64,9.96,9.57,9.86,9.86,1771000
28,2010-02-12,9.74,9.75,9.5,9.65,9.65,1384900
29,2010-02-16,9.7,9.83,9.57,9.75,9.75,1072200
30,2010-02-17,9.79,9.93,9.63,9.66,9.66,2178500
31,2010-02-18,9.68,9.69,9.5,9.64,9.64,1523000
32,2010-02-19,9.59,9.68,9.41,9.5,9.5,1641600
33,2010-02-22,9.52,9.57,9.19,9.24,9.24,2405200
34,2010-02-23,9.24,9.33,9.14,9.32,9.32,1630300
35,2010-02-24,9.32,9.34,9.16,9.22,9.22,1390300
36,2010-02-25,9.12,9.28,9.03,9.28,9.28,1538400
37,2010-02-26,9.31,9.64,9.21,9.62,9.62,2811100
38,2010-03-01,9.62,9.75,9.39,9.44,9.44,2125100
39,2010-03-02,9.49,9.55,9.24,9.28,9.28,2160100
40,2010-03-03,9.26,9.32,8.94,9.03,9.03,5512400
41,2010-03-04,9.5,10.02,9.31,10.02,10.02,7570800
42,2010-03-05,10.03,10.22,9.91,9.99,9.99,3041400
43,2010-03-08,10.04,10.25,9.93,10.18,10.18,1674200
44,2010-03-09,10.23,10.45,10.19,10.39,10.39,1741100
45,2010-03-10,10.42,10.54,10.32,10.5,10.5,1526000
46,2010-03-11,10.42,10.42,10.11,10.22,10.22,1725500
47,2010-03-12,10.2,10.28,10.04,10.13,10.13,1044600
48,2010-03-15,9.96,10.13,9.85,10.12,10.12,1304400
49,2010-03-16,10.13,10.14,9.85,9.96,9.96,1801300
50,2010-03-17,9.97,10.0,9.76,9.83,9.83,1509000
51,2010-03-18,9.9,10.18,9.82,10.0,10.0,1736300
52,2010-03-19,10.06,10.12,9.81,10.02,10.02,3063600
53,2010-03-22,9.94,10.46,9.79,10.27,10.27,4066500
54,2010-03-23,10.24,10.51,10.24,10.5,10.5,1799300
55,2010-03-24,10.48,10.55,10.35,10.38,10.38,1011900
56,2010-03-25,10.4,10.45,10.17,10.18,10.18,1252200
57,2010-03-26,10.24,10.32,10.04,10.21,10.21,1246300
58,2010-03-29,10.2,10.26,10.05,10.11,10.11,953000
59,2010-03-30,10.08,10.19,9.98,10.09,10.09,1062600
60,2010-03-31,10.03,10.08,9.85,9.87,9.87,1402400
61,2010-04-01,9.88,10.07,9.87,10.04,10.04,1306500
62,2010-04-05,10.09,10.36,10.01,10.36,10.36,1215500
63,2010-04-06,10.3,10.5,10.27,10.42,10.42,1074700
64,2010-04-07,10.38,10.44,10.26,10.32,10.32,1346600
65,2010-04-08,10.32,10.41,10.17,10.38,10.38,1284000
66,2010-04-09,10.46,10.55,10.31,10.51,10.51,1387400
67,2010-04-12,10.57,10.87,10.51,10.87,10.87,1357900
68,2010-04-13,10.87,10.91,10.72,10.86,10.86,1070200
69,2010-04-14,10.86,11.19,10.81,10.86,10.86,2304800
70,2010-04-15,10.89,10.93,10.64,10.79,10.79,1665700
71,2010-04-16,10.74,10.89,10.46,10.65,10.65,1495000
72,2010-04-19,10.6,10.64,10.29,10.38,10.38,1448400
73,2010-04-20,10.45,10.57,10.24,10.48,10.48,2640300
74,2010-04-21,10.48,10.75,10.47,10.68,10.68,1272200
75,2010-04-22,10.66,10.88,10.51,10.84,10.84,1374400
76,2010-04-23,10.86,11.25,10.83,11.21,11.21,1778600
77,2010-04-26,11.24,11.25,11.03,11.09,11.09,1660500
78,2010-04-27,11.08,11.2,10.77,10.8,10.8,2881600
79,2010-04-28,10.84,10.92,10.55,10.65,10.65,1452900
80,2010-04-29,10.7,11.0,10.58,11.0,11.0,1538100
81,2010-04-30,10.99,11.03,10.8,10.85,10.85,1366500
82,2010-05-03,10.83,11.17,10.74,11.17,11.17,1249600
83,2010-05-04,11.04,11.13,10.52,10.59,10.59,1860700
84,2010-05-05,10.5,10.52,10.15,10.29,10.29,1929700
85,2010-05-06,10.29,10.48,9.27,9.83,9.83,2306800
86,2010-05-07,9.8,9.99,9.34,9.83,9.83,3586800
87,2010-05-10,10.47,11.03,10.3,10.54,10.54,2020500
88,2010-05-11,10.47,10.86,10.39,10.67,10.67,1417200
89,2010-05-12,10.74,11.3,10.64,11.03,11.03,2148800
90,2010-05-13,11.01,11.44,11.01,11.24,11.24,1950700
91,2010-05-14,11.02,11.09,10.64,11.07,11.07,3375500
92,2010-05-17,11.17,11.25,10.82,11.25,11.25,2786400
93,2010-05-18,11.37,11.6,11.16,11.18,11.18,4472900
94,2010-05-19,11.18,11.23,10.86,11.0,11.0,2581800
95,2010-05-20,10.9,11.04,10.54,10.69,10.69,3395800
96,2010-05-21,10.56,10.87,10.42,10.76,10.76,2703900
97,2010-05-24,10.76,11.02,10.76,10.82,10.82,1791000
98,2010-05-25,10.44,10.7,10.25,10.65,10.65,2891700
99,2010-05-26,10.71,10.96,10.3,10.41,10.41,3512100
100,2010-05-27,10.6,10.76,10.49,10.73,10.73,2066500
101,2010-05-28,11.1,11.66,10.95,11.57,11.57,4833300
102,2010-06-01,11.54,11.84,11.18,11.19,11.19,2780000
103,2010-06-02,11.26,11.52,11.16,11.4,11.4,3152600
104,2010-06-03,11.42,11.58,11.34,11.53,11.53,2322200
105,2010-06-04,11.28,11.44,10.98,11.03,11.03,2609500
106,2010-06-07,11.11,11.25,10.63,10.64,10.64,3224200
107,2010-06-08,10.64,10.78,10.28,10.52,10.52,2990000
108,2010-06-09,10.99,11.0,9.71,9.71,9.71,9433300
109,2010-06-10,9.87,10.19,9.75,10.19,10.19,3247900
110,2010-06-11,10.05,10.47,10.03,10.44,10.44,2583900
111,2010-06-14,10.29,10.35,10.0,10.03,10.03,2404500
112,2010-06-15,10.15,10.31,10.06,10.31,10.31,1808200
113,2010-06-16,10.25,10.43,10.13,10.26,10.26,1383100
114,2010-06-17,10.3,10.4,10.2,10.3,10.3,1013300
115,2010-06-18,10.33,10.38,9.97,10.07,10.07,1948900
116,2010-06-21,10.11,10.2,9.89,9.98,9.98,1341400
117,2010-06-22,10.06,10.15,9.68,9.72,9.72,1516800
118,2010-06-23,9.72,9.85,9.51,9.57,9.57,2301100
119,2010-06-24,9.57,9.66,9.39,9.51,9.51,1934200
120,2010-06-25,9.52,9.99,9.44,9.84,9.84,3838900
121,2010-06-28,9.82,9.99,9.7,9.75,9.75,1468500
122,2010-06-29,9.59,9.74,9.19,9.25,9.25,2049600
123,2010-06-30,9.25,9.37,8.98,9.0,9.0,1694000
124,2010-07-01,8.99,9.02,8.68,8.85,8.85,2155900
125,2010-07-02,8.9,9.17,8.9,9.01,9.01,1972400
126,2010-07-06,9.06,9.23,8.8,8.91,8.91,2395000
127,2010-07-07,8.98,9.77,8.86,9.75,9.75,3171400
128,2010-07-08,9.81,9.92,9.27,9.39,9.39,2999000
129,2010-07-09,9.39,9.56,9.33,9.49,9.49,1110800
130,2010-07-12,9.44,9.59,9.23,9.55,9.55,1878300
131,2010-07-13,9.68,10.2,9.58,10.14,10.14,2224700
132,2010-07-14,10.09,10.15,9.8,9.92,9.92,1995100
133,2010-07-15,9.9,9.93,9.65,9.83,9.83,1760000
134,2010-07-16,9.9,9.98,9.6,9.76,9.76,1770600
135,2010-07-19,9.79,10.1,9.66,10.04,10.04,1771600
136,2010-07-20,9.92,9.92,9.66,9.86,9.86,2082900
137,2010-07-21,9.93,9.96,9.67,9.7,9.7,1399000
138,2010-07-22,9.83,10.25,9.8,10.19,10.19,2087600
139,2010-07-23,10.13,10.5,9.97,10.46,10.46,1309300
140,2010-07-26,10.47,10.77,10.29,10.75,10.75,1833400
141,2010-07-27,10.83,10.83,10.45,10.59,10.59,1481700
142,2010-07-28,10.54,10.64,10.19,10.29,10.29,1146400
143,2010-07-29,10.39,10.47,10.05,10.38,10.38,1169800
144,2010-07-30,10.22,10.4,10.08,10.25,10.25,1226300
145,2010-08-02,10.4,10.61,10.31,10.43,10.43,939500
146,2010-08-03,10.37,10.66,10.32,10.34,10.34,1439200
147,2010-08-04,10.41,10.66,10.27,10.66,10.66,1404000
148,2010-08-05,10.57,10.65,10.34,10.48,10.48,1035900
149,2010-08-06,10.35,10.5,10.1,10.19,10.19,1406700
150,2010-08-09,10.24,10.29,10.16,10.24,10.24,776000
151,2010-08-10,10.15,10.15,9.66,9.68,9.68,2154600
152,2010-08-11,9.61,9.61,9.19,9.19,9.19,1744000
153,2010-08-12,9.07,9.19,8.49,8.51,8.51,5116400
154,2010-08-13,8.92,8.92,8.29,8.29,8.29,3593100
155,2010-08-16,8.25,8.47,8.2,8.3,8.3,2468200
156,2010-08-17,8.37,8.49,8.23,8.39,8.39,3602400
157,2010-08-18,8.39,8.62,8.35,8.54,8.54,2049500
158,2010-08-19,8.53,8.57,8.3,8.41,8.41,1481300
159,2010-08-20,8.38,8.46,8.26,8.44,8.44,760700
160,2010-08-23,8.5,8.52,8.25,8.26,8.26,738400
161,2010-08-24,8.16,8.29,8.04,8.23,8.23,1242600
162,2010-08-25,8.0,8.28,7.98,8.27,8.27,923700
163,2010-08-26,8.34,8.44,8.15,8.23,8.23,1203500
