,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,3.43375,3.5125,3.43375,3.51,3.51,4284000
1,2010-01-05,3.50375,3.62,3.46625,3.615,3.615,3666400
2,2010-01-06,3.6275,3.69875,3.61375,3.695,3.695,3821600
3,2010-01-07,3.68875,3.74875,3.62125,3.65125,3.65125,5780800
4,2010-01-08,3.6525,3.68125,3.59125,3.64375,3.64375,6400000
5,2010-01-11,3.66375,3.68375,3.6025,3.63625,3.63625,6161600
6,2010-01-12,3.7,3.735,3.5875,3.62,3.62,6319200
7,2010-01-13,3.6625,3.675,3.605,3.625,3.625,3229600
8,2010-01-14,3.63375,3.64375,3.58375,3.6125,3.6125,5499200
9,2010-01-15,3.60625,3.645,3.4775,3.49875,3.49875,4578400
10,2010-01-19,3.51375,3.54625,3.37625,3.3925,3.3925,9436000
11,2010-01-20,3.39125,3.4,3.3125,3.335,3.335,6938400
12,2010-01-21,3.4425,3.54625,3.37375,3.4175,3.4175,15407200
13,2010-01-22,3.41,3.47875,3.3125,3.32875,3.32875,8641600
14,2010-01-25,3.37,3.38125,3.275,3.3175,3.3175,4956000
15,2010-01-26,3.3125,3.5075,3.2725,3.4275,3.4275,8334400
16,2010-01-27,3.415,3.52625,3.415,3.48875,3.48875,9220800
17,2010-01-28,3.49,3.51,3.24,3.28125,3.28125,14160000
18,2010-01-29,3.3425,3.3675,3.17125,3.175,3.175,8784000
19,2010-02-01,3.225,3.26,3.14375,3.24625,3.24625,4974400
20,2010-02-02,3.265,3.415,3.21625,3.35,3.35,10510400
21,2010-02-03,3.30375,3.32625,3.22625,3.235,3.235,5456000
22,2010-02-04,3.2125,3.2125,3.04625,3.05625,3.05625,9863200
23,2010-02-05,3.0525,3.065,2.965,3.055,3.055,10075200
24,2010-02-08,3.08,3.09375,2.98625,2.9925,2.9925,5335200
25,2010-02-09,3.04375,3.13625,2.98625,3.10625,3.10625,6520800
26,2010-02-10,3.10375,3.14,3.04875,3.0675,3.0675,4427200
27,2010-02-11,3.07625,3.17375,3.04875,3.16625,3.16625,5113600
28,2010-02-12,3.175,3.175,3.12375,3.16,3.16,5303200
29,2010-02-16,3.18125,3.205,3.14625,3.20375,3.20375,2821600
30,2010-02-17,3.20625,3.245,3.19875,3.2275,3.2275,2428000
31,2010-02-18,3.23125,3.23125,3.18,3.21125,3.21125,2324000
32,2010-02-19,3.2,3.23125,3.1825,3.22125,3.22125,2404800
33,2010-02-22,3.2425,3.27875,3.2175,3.2425,3.2425,3177600
34,2010-02-23,3.2425,3.25375,3.145,3.1675,3.1675,3596000
35,2010-02-24,3.2225,3.295,3.21125,3.23125,3.23125,6490400
36,2010-02-25,3.19,3.26375,3.15875,3.26125,3.26125,3859200
37,2010-02-26,3.27125,3.28375,3.2225,3.2575,3.2575,2902400
38,2010-03-01,3.27,3.35625,3.25,3.355,3.355,3281600
39,2010-03-02,3.395,3.39625,3.335,3.37,3.37,3778400
40,2010-03-03,3.375,3.39125,3.31875,3.34375,3.34375,4318400
41,2010-03-04,3.3575,3.37375,3.30375,3.33625,3.33625,1950400
42,2010-03-05,3.36,3.55625,3.33875,3.5175,3.5175,6939200
43,2010-03-08,3.52375,3.58375,3.51625,3.52125,3.52125,3035200
44,2010-03-09,3.525,3.61125,3.52125,3.55125,3.55125,4067200
45,2010-03-10,3.5475,3.64625,3.5225,3.625,3.625,4709600
46,2010-03-11,3.6075,3.65125,3.51625,3.6475,3.6475,6637600
47,2010-03-12,3.65625,3.66,3.5375,3.55,3.55,6032000
48,2010-03-15,3.545,3.56,3.47875,3.5225,3.5225,3158400
49,2010-03-16,3.54,3.59,3.51875,3.58625,3.58625,2875200
50,2010-03-17,3.57625,3.64875,3.57625,3.62125,3.62125,4144800
51,2010-03-18,3.63875,3.6975,3.52625,3.5425,3.5425,9039200
52,2010-03-19,3.5925,3.595,3.50625,3.5925,3.5925,4911200
53,2010-03-22,3.5525,3.79875,3.5225,3.76125,3.76125,7964000
54,2010-03-23,3.76,3.895,3.76,3.85,3.85,9392000
55,2010-03-24,3.78125,3.7875,3.6325,3.645,3.645,11553600
56,2010-03-25,3.6875,3.855,3.6825,3.77,3.77,8388800
57,2010-03-26,3.78875,3.85875,3.76875,3.825,3.825,5187200
58,2010-03-29,3.845,3.84625,3.7775,3.825,3.825,3466400
59,2010-03-30,3.81625,3.875,3.74375,3.78125,3.78125,6009600
