,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,12.99,13.11,12.53,12.8,12.8,8785900
1,2010-01-05,12.87,14.1,12.87,13.91,13.91,23646300
2,2010-01-06,13.74,13.99,13.13,13.27,13.27,15398700
3,2010-01-07,13.2,13.95,13.2,13.55,13.55,10177000
4,2010-01-08,13.56,13.86,13.13,13.33,13.33,5896400
5,2010-01-11,13.36,13.42,12.66,13.11,13.11,10168600
6,2010-01-12,13.0,13.16,12.59,12.69,12.69,7203300
7,2010-01-13,12.75,14.05,12.53,13.95,13.95,25097400
8,2010-01-14,13.84,14.11,13.65,13.93,13.93,8794300
9,2010-01-15,13.93,14.07,13.22,13.25,13.25,10210700
10,2010-01-19,13.24,13.76,13.12,13.26,13.26,8853400
11,2010-01-20,13.17,13.59,13.01,13.55,13.55,9582000
12,2010-01-21,13.75,14.15,13.03,13.13,13.13,13819700
13,2010-01-22,13.07,13.79,12.81,13.21,13.21,15336800
14,2010-01-25,13.54,13.7,12.58,12.88,12.88,10304600
15,2010-01-26,12.78,13.23,12.47,12.79,12.79,9175300
16,2010-01-27,13.11,13.25,12.13,12.83,12.83,16569200
17,2010-01-28,12.93,13.1,12.19,12.63,12.63,12183800
18,2010-01-29,12.73,13.0,12.18,12.23,12.23,10198200
19,2010-02-01,12.35,12.75,12.14,12.75,12.75,5866000
20,2010-02-02,12.88,13.76,12.79,13.72,13.72,16131700
21,2010-02-03,13.6,13.79,13.24,13.36,13.36,9889200
22,2010-02-04,13.1,13.1,12.21,12.36,12.36,13254700
23,2010-02-05,12.34,12.9,12.24,12.78,12.78,12748200
24,2010-02-08,12.85,13.33,12.62,13.07,13.07,10813100
25,2010-02-09,13.63,15.45,13.61,15.36,15.36,31243200
26,2010-02-10,15.25,15.76,14.9,15.36,15.36,14233800
27,2010-02-11,15.3,15.87,15.14,15.66,15.66,9203400
28,2010-02-12,15.13,15.98,15.03,15.95,15.95,11612100
29,2010-02-16,16.049999,16.34,15.5,15.68,15.68,12249300
30,2010-02-17,15.73,15.73,15.36,15.49,15.49,6328100
31,2010-02-18,15.37,15.41,14.91,14.98,14.98,8801900
32,2010-02-19,14.86,15.38,14.81,15.33,15.33,5187900
33,2010-02-22,15.44,15.69,15.33,15.53,15.53,5174700
34,2010-02-23,15.54,15.74,15.13,15.58,15.58,8987500
35,2010-02-24,15.68,15.79,15.4,15.67,15.67,4648600
36,2010-02-25,15.41,15.73,15.16,15.66,15.66,4535300
37,2010-02-26,15.66,17.280001000000002,15.64,17.15,17.15,14314800
38,2010-03-01,17.25,18.49,17.23,18.030001000000002,18.030001000000002,13438700
39,2010-03-02,18.1,18.440001000000002,17.639999,17.870001000000002,17.870001000000002,13317000
40,2010-03-03,17.969998999999998,18.620001000000002,17.719998999999998,18.25,18.25,9107600
41,2010-03-04,18.389999,18.41,17.940001000000002,18.059998999999998,18.059998999999998,6289600
42,2010-03-05,18.26,18.35,17.959999,18.23,18.23,4602000
43,2010-03-08,18.25,18.299999,17.49,17.52,17.52,8109300
44,2010-03-09,18.02,19.290001,18.01,18.16,18.16,21499500
45,2010-03-10,18.35,19.280001000000002,18.33,18.98,18.98,11737600
46,2010-03-11,18.889999,19.209999,18.620001000000002,19.17,19.17,8722900
47,2010-03-12,19.360001,19.690001000000002,18.93,19.68,19.68,8762800
48,2010-03-15,19.530001000000002,19.940001000000002,19.25,19.879998999999998,19.879998999999998,7747700
49,2010-03-16,20.129998999999998,20.450001,19.83,20.18,20.18,8962900
50,2010-03-17,20.190001000000002,20.379998999999998,19.35,19.49,19.49,11232200
51,2010-03-18,19.559998999999998,20.049999,19.469998999999998,19.530001000000002,19.530001000000002,5776600
52,2010-03-19,18.530001000000002,19.690001000000002,18.450001,18.530001000000002,18.530001000000002,11689200
53,2010-03-22,18.48,19.540001,18.16,19.43,19.43,8082900
54,2010-03-23,19.639999,19.68,18.940001000000002,19.530001000000002,19.530001000000002,5583200
55,2010-03-24,19.360001,19.98,19.33,19.6,19.6,4990600
56,2010-03-25,19.870001000000002,20.59,19.6,19.66,19.66,7739000
57,2010-03-26,19.82,20.549999,19.700001,19.91,19.91,8910300
58,2010-03-29,19.98,20.309998999999998,19.65,19.99,19.99,5095300
59,2010-03-30,20.15,20.17,19.530001000000002,19.709999,19.709999,4740400
60,2010-03-31,19.51,19.73,19.16,19.549999,19.549999,6026900
61,2010-04-01,19.530001000000002,19.9,19.32,19.51,19.51,9057800
62,2010-04-05,19.629998999999998,19.780001000000002,19.08,19.35,19.35,7234800
63,2010-04-06,19.280001000000002,19.76,19.24,19.469998999999998,19.469998999999998,6541000
64,2010-04-07,19.43,19.58,18.5,18.950001,18.950001,12724900
65,2010-04-08,19.940001000000002,20.809998999999998,19.92,20.23,20.23,30718000
66,2010-04-09,20.32,20.549999,19.76,20.5,20.5,8816400
67,2010-04-12,20.73,21.639999,20.690001000000002,21.469998999999998,21.469998999999998,10257600
68,2010-04-13,21.469998999999998,22.32,21.290001,21.48,21.48,10271300
69,2010-04-14,21.75,22.83,21.700001,22.360001,22.360001,10705600
70,2010-04-15,22.200001,23.83,22.030001000000002,23.540001,23.540001,18839100
71,2010-04-16,23.4,23.620001000000002,22.139999,22.83,22.83,11274900
72,2010-04-19,22.41,22.950001,21.4,21.66,21.66,12029800
73,2010-04-20,21.959999,22.5,21.35,21.780001000000002,21.780001000000002,8354300
74,2010-04-21,22.0,22.17,20.780001000000002,21.43,21.43,8265800
75,2010-04-22,20.969998999999998,22.73,20.16,21.709999,21.709999,18032400
76,2010-04-23,21.84,23.0,21.469998999999998,22.99,22.99,14226200
77,2010-04-26,22.68,22.75,21.68,22.360001,22.360001,12219300
78,2010-04-27,22.360001,22.709999,20.35,20.51,20.51,11821100
79,2010-04-28,21.139999,22.08,20.98,21.75,21.75,12012100
80,2010-04-29,22.24,22.41,21.219998999999998,21.469998999999998,21.469998999999998,8858300
81,2010-04-30,22.0,22.860001,21.58,21.6,21.6,10890700
82,2010-05-03,22.299999,22.549999,21.280001000000002,22.110001,22.110001,12427200
83,2010-05-04,21.719998999999998,21.73,19.08,19.77,19.77,20888500
84,2010-05-05,19.309998999999998,19.860001,18.370001000000002,19.780001000000002,19.780001000000002,24756200
85,2010-05-06,19.440001000000002,19.959999,16.389999,17.969998999999998,17.969998999999998,22477500
86,2010-05-07,18.040001,18.98,17.379998999999998,17.889999,17.889999,17664900
87,2010-05-10,18.66,19.440001000000002,18.120001000000002,19.43,19.43,8169500
88,2010-05-11,18.940001000000002,19.799999,18.9,19.549999,19.549999,7417600
89,2010-05-12,19.76,20.49,19.75,20.370001000000002,20.370001000000002,7864400
90,2010-05-13,20.370001000000002,21.08,19.98,20.110001,20.110001,5413300
91,2010-05-14,19.91,20.1,19.209999,19.85,19.85,7027700
92,2010-05-17,19.99,20.41,19.07,19.950001,19.950001,6945200
93,2010-05-18,20.35,20.440001000000002,19.25,19.370001000000002,19.370001000000002,4420400
94,2010-05-19,19.049999,19.379998999999998,18.16,18.84,18.84,10907800
95,2010-05-20,17.959999,18.42,17.549999,17.709999,17.709999,10625200
96,2010-05-21,17.379998999999998,18.9,17.129998999999998,18.530001000000002,18.530001000000002,10279900
97,2010-05-24,18.299999,19.08,18.27,18.280001000000002,18.280001000000002,3579400
98,2010-05-25,17.629998999999998,19.139999,17.379998999999998,18.959999,18.959999,9033200
99,2010-05-26,19.129998999999998,20.530001000000002,19.059998999999998,19.75,19.75,10312400
100,2010-05-27,20.35,20.540001,19.99,20.389999,20.389999,6215900
101,2010-05-28,20.309998999999998,20.620001000000002,19.84,20.01,20.01,5716600
102,2010-06-01,19.74,20.030001000000002,19.34,19.35,19.35,5172600
103,2010-06-02,19.940001000000002,21.780001000000002,19.940001000000002,21.780001000000002,21.780001000000002,12218300
104,2010-06-03,22.0,22.549999,21.709999,22.24,22.24,8560700
105,2010-06-04,21.440001000000002,22.040001,21.0,21.08,21.08,8545800
106,2010-06-07,21.18,21.49,20.280001000000002,20.299999,20.299999,7804800
107,2010-06-08,20.450001,20.860001,19.610001,20.83,20.83,9361200
108,2010-06-09,21.190001000000002,22.200001,21.049999,21.34,21.34,9068900
109,2010-06-10,21.959999,22.200001,21.690001000000002,21.950001,21.950001,7041800
110,2010-06-11,21.440001000000002,22.82,21.200001,22.780001000000002,22.780001000000002,9103600
111,2010-06-14,23.09,23.639999,22.67,22.91,22.91,7241200
112,2010-06-15,23.27,24.280001000000002,23.030001000000002,23.74,23.74,11293900
113,2010-06-16,23.58,24.59,23.35,23.969998999999998,23.969998999999998,5832000
114,2010-06-17,24.290001,24.450001,23.51,23.92,23.92,4146500
115,2010-06-18,24.030001000000002,24.1,23.51,23.799999,23.799999,4951700
116,2010-06-21,24.27,24.48,22.969998999999998,23.24,23.24,5608900
117,2010-06-22,23.24,23.27,22.0,22.1,22.1,7760700
118,2010-06-23,22.129998999999998,22.530001000000002,21.690001000000002,22.0,22.0,5081200
119,2010-06-24,21.84,22.42,21.389999,21.49,21.49,5926300
120,2010-06-25,21.530001000000002,21.629998999999998,20.700001,20.91,20.91,24106300
121,2010-06-28,21.030001000000002,21.48,20.76,20.809998999999998,20.809998999999998,5453000
122,2010-06-29,20.370001000000002,20.5,19.92,19.99,19.99,7955300
123,2010-06-30,20.02,21.41,20.02,20.559998999999998,20.559998999999998,6304100
124,2010-07-01,20.65,21.5,19.959999,20.719998999999998,20.719998999999998,6505600
125,2010-07-02,20.57,20.799999,18.49,18.59,18.59,14197800
126,2010-07-06,19.25,19.67,18.42,18.639999,18.639999,6868300
127,2010-07-07,18.98,20.139999,18.620001000000002,20.049999,20.049999,9122500
128,2010-07-08,20.25,20.559998999999998,19.92,20.51,20.51,4946000
129,2010-07-09,20.969998999999998,21.370001000000002,20.6,21.360001,21.360001,6329800
130,2010-07-12,21.15,21.700001,20.969998999999998,21.42,21.42,3733900
131,2010-07-13,21.639999,22.549999,21.639999,22.440001000000002,22.440001000000002,6311000
132,2010-07-14,22.43,22.879998999999998,22.209999,22.700001,22.700001,4888000
133,2010-07-15,22.67,22.690001000000002,21.629998999999998,21.98,21.98,5070900
134,2010-07-16,21.68,21.91,21.25,21.35,21.35,3412200
135,2010-07-19,21.290001,21.290001,19.370001000000002,21.18,21.18,10104500
136,2010-07-20,21.16,22.5,21.16,22.200001,22.200001,9829300
137,2010-07-21,22.450001,22.68,21.67,21.77,21.77,5630200
138,2010-07-22,22.200001,22.940001000000002,22.200001,22.780001000000002,22.780001000000002,5638400
139,2010-07-23,22.68,23.129998999999998,22.469998999999998,22.959999,22.959999,5917500
140,2010-07-26,23.139999,25.0,22.9,24.25,24.25,7157700
141,2010-07-27,24.4,24.549999,23.59,23.709999,23.709999,4913100
142,2010-07-28,23.639999,24.5,23.389999,23.780001000000002,23.780001000000002,6643000
143,2010-07-29,23.969998999999998,24.34,23.219998999999998,23.780001000000002,23.780001000000002,4486900
144,2010-07-30,23.5,24.120001000000002,23.18,23.74,23.74,3863400
145,2010-08-02,24.1,24.440001000000002,23.780001000000002,24.17,24.17,5086900
146,2010-08-03,23.99,23.99,23.09,23.200001,23.200001,4103900
147,2010-08-04,23.360001,23.450001,22.309998999999998,22.610001,22.610001,6030000
148,2010-08-05,22.52,22.809998999999998,22.200001,22.299999,22.299999,2966900
149,2010-08-06,22.1,22.469998999999998,21.84,22.32,22.32,3403500
150,2010-08-09,22.42,23.299999,22.42,23.23,23.23,5645500
151,2010-08-10,23.049999,23.049999,22.25,22.459999,22.459999,3813400
152,2010-08-11,21.82,22.17,20.940001000000002,21.0,21.0,5354900
153,2010-08-12,20.59,21.969998999999998,20.5,21.360001,21.360001,3952800
154,2010-08-13,21.4,21.65,21.15,21.48,21.48,2470900
155,2010-08-16,21.309998999999998,21.93,21.16,21.74,21.74,3489200
156,2010-08-17,22.110001,22.120001000000002,21.08,21.23,21.23,4632500
157,2010-08-18,21.25,21.719998999999998,21.08,21.43,21.43,5416300
158,2010-08-19,21.370001000000002,21.690001000000002,20.33,20.58,20.58,4547000
159,2010-08-20,20.58,20.6,20.02,20.51,20.51,4186000
160,2010-08-23,20.459999,21.25,20.389999,20.469998999999998,20.469998999999998,5320600
161,2010-08-24,20.219998999999998,20.280001000000002,19.34,19.73,19.73,5873100
162,2010-08-25,19.42,19.629998999999998,19.09,19.370001000000002,19.370001000000002,6927100
163,2010-08-26,19.709999,20.07,19.620001000000002,19.639999,19.639999,5864000
164,2010-08-27,19.809998999999998,20.620001000000002,19.18,20.450001,20.450001,4970900
165,2010-08-30,20.85,21.559998999999998,20.700001,20.709999,20.709999,8816800
166,2010-08-31,20.709999,21.360001,20.4,21.200001,21.200001,4353600
167,2010-09-01,21.5,22.1,21.5,21.93,21.93,5709600
168,2010-09-02,21.99,22.610001,21.77,22.290001,22.290001,4392500
169,2010-09-03,22.700001,22.790001,22.35,22.5,22.5,3651000
170,2010-09-07,22.450001,22.6,21.92,22.27,22.27,3911400
171,2010-09-08,22.299999,22.59,21.889999,22.059998999999998,22.059998999999998,5373000
172,2010-09-09,21.93,21.99,20.549999,20.940001000000002,20.940001000000002,8482600
173,2010-09-10,20.879998999999998,21.27,20.48,20.84,20.84,4056200
174,2010-09-13,21.23,21.48,21.02,21.299999,21.299999,3452100
175,2010-09-14,21.280001000000002,22.32,20.82,21.77,21.77,5311600
176,2010-09-15,21.76,22.110001,21.559998999999998,21.709999,21.709999,3140400
177,2010-09-16,21.58,22.23,21.309998999999998,22.219998999999998,22.219998999999998,5740200
178,2010-09-17,22.290001,22.32,21.870001000000002,21.950001,21.950001,5031000
179,2010-09-20,21.950001,22.5,21.950001,22.42,22.42,6799300
180,2010-09-21,22.559998999999998,23.540001,22.43,23.5,23.5,7497700
181,2010-09-22,23.280001000000002,23.52,22.6,22.639999,22.639999,7239700
182,2010-09-23,22.49,22.879998999999998,22.15,22.389999,22.389999,6153600
183,2010-09-24,22.68,22.959999,22.549999,22.790001,22.790001,3435000
184,2010-09-27,23.1,23.450001,22.83,22.84,22.84,5750700
185,2010-09-28,23.0,23.17,22.75,23.02,23.02,4041300
186,2010-09-29,23.0,23.65,22.76,23.41,23.41,6686300
187,2010-09-30,23.76,23.950001,23.42,23.66,23.66,11728300
188,2010-10-01,25.0,25.450001,24.25,24.700001,24.700001,5674600
189,2010-10-04,25.02,25.49,23.76,24.1,24.1,9705700
190,2010-10-05,24.32,24.799999,24.32,24.469998999999998,24.469998999999998,7265100
191,2010-10-06,24.610001,25.049999,24.610001,24.969998999999998,24.969998999999998,5633400
192,2010-10-07,25.09,25.82,24.84,25.719998999999998,25.719998999999998,7508800
193,2010-10-08,25.76,27.059998999999998,25.49,26.440001000000002,26.440001000000002,8397200
194,2010-10-11,26.549999,26.9,25.99,26.040001,26.040001,4016400
195,2010-10-12,25.969998999999998,27.379998999999998,25.91,26.98,26.98,9636900
196,2010-10-13,27.42,27.629998999999998,26.6,26.690001000000002,26.690001000000002,7252700
197,2010-10-14,26.9,26.9,25.66,25.83,25.83,5185600
198,2010-10-15,26.139999,26.42,25.93,26.15,26.15,4550700
199,2010-10-18,26.299999,26.32,25.82,26.32,26.32,3607900
200,2010-10-19,25.709999,26.190001000000002,25.450001,25.690001000000002,25.690001000000002,6296600
201,2010-10-20,26.379998999999998,27.700001,26.07,27.629998999999998,27.629998999999998,9060400
202,2010-10-21,27.309998999999998,28.73,26.719998999999998,27.799999,27.799999,13028400
203,2010-10-22,27.92,27.92,27.25,27.709999,27.709999,4347400
204,2010-10-25,27.82,28.23,27.620001000000002,27.709999,27.709999,5211000
205,2010-10-26,27.530001000000002,28.690001000000002,27.299999,28.440001000000002,28.440001000000002,5053500
206,2010-10-27,28.35,29.559998999999998,28.120001000000002,29.530001000000002,29.530001000000002,5698600
207,2010-10-28,29.610001,29.75,28.6,28.92,28.92,5361800
208,2010-10-29,29.09,29.110001,28.4,29.040001,29.040001,4224800
209,2010-11-01,28.91,29.09,28.030001000000002,28.4,28.4,4562400
210,2010-11-02,28.58,28.639999,27.74,28.610001,28.610001,3332200
211,2010-11-03,28.879998999999998,29.1,28.209999,28.93,28.93,5215900
212,2010-11-04,29.43,29.59,27.77,27.860001,27.860001,9424600
213,2010-11-05,28.08,28.290001,27.51,27.860001,27.860001,6386500
214,2010-11-08,27.959999,28.610001,27.610001,28.59,28.59,4935200
215,2010-11-09,28.780001000000002,28.799999,27.809998999999998,28.049999,28.049999,4702200
216,2010-11-10,28.200001,28.299999,27.709999,28.040001,28.040001,2257100
217,2010-11-11,27.700001,28.52,27.610001,28.4,28.4,3178000
218,2010-11-12,28.08,28.370001000000002,27.68,27.870001000000002,27.870001000000002,2713800
219,2010-11-15,27.690001000000002,28.15,27.280001000000002,27.469998999999998,27.469998999999998,3702900
220,2010-11-16,27.4,28.139999,26.66,27.18,27.18,5195100
221,2010-11-17,27.280001000000002,27.43,26.76,27.34,27.34,2274100
222,2010-11-18,27.6,28.35,27.540001,27.98,27.98,3484000
223,2010-11-19,27.889999,28.709999,27.75,28.620001000000002,28.620001000000002,4143300
224,2010-11-22,28.459999,28.84,28.190001000000002,28.68,28.68,2959700
225,2010-11-23,28.290001,28.42,27.75,27.92,27.92,2884100
226,2010-11-24,27.98,29.25,27.98,29.209999,29.209999,4808700
227,2010-11-26,28.82,29.059998999999998,28.65,28.860001,28.860001,1303700
228,2010-11-29,28.65,29.040001,28.01,28.200001,28.200001,4916700
229,2010-11-30,28.08,28.43,27.610001,27.68,27.68,3578800
230,2010-12-01,28.129998999999998,28.59,27.780001000000002,28.370001000000002,28.370001000000002,4147100
231,2010-12-02,28.389999,28.549999,28.040001,28.209999,28.209999,2867900
232,2010-12-03,27.92,28.120001000000002,27.629998999999998,27.73,27.73,3470400
233,2010-12-06,27.59,27.870001000000002,26.860001,27.040001,27.040001,5527600
234,2010-12-07,27.23,27.57,25.440001000000002,25.780001000000002,25.780001000000002,9309400
235,2010-12-08,25.969998999999998,25.969998999999998,24.700001,25.42,25.42,7925700
236,2010-12-09,25.610001,26.51,25.200001,26.15,26.15,5421000
237,2010-12-10,25.98,26.25,25.23,26.1,26.1,4035600
238,2010-12-13,26.120001000000002,26.17,25.059998999999998,25.190001000000002,25.190001000000002,5977900
239,2010-12-14,25.15,25.549999,24.209999,24.41,24.41,7614900
240,2010-12-15,24.299999,24.73,23.74,23.860001,23.860001,5267700
241,2010-12-16,23.83,24.540001,23.809998999999998,24.370001000000002,24.370001000000002,6678000
242,2010-12-17,24.370001000000002,24.469998999999998,23.93,24.139999,24.139999,3537600
243,2010-12-20,24.09,24.25,23.780001000000002,24.200001,24.200001,4540200
244,2010-12-21,24.25,24.49,23.83,24.309998999999998,24.309998999999998,5490200
245,2010-12-22,24.219998999999998,24.51,23.73,24.41,24.41,6668400
246,2010-12-23,24.48,24.530001000000002,23.33,23.41,23.41,6363400
247,2010-12-27,23.42,23.58,23.139999,23.41,23.41,3073900
248,2010-12-28,23.549999,23.610001,23.190001000000002,23.27,23.27,2433800
249,2010-12-29,23.16,23.57,23.1,23.459999,23.459999,2514600
250,2010-12-30,23.6,24.059998999999998,23.5,24.01,24.01,3891600
251,2010-12-31,24.02,24.77,23.67,23.82,23.82,3910900
252,2011-01-03,24.129998999999998,25.15,24.1,25.129998999999998,25.129998999999998,7636700
253,2011-01-04,25.299999,25.92,25.200001,25.530001000000002,25.530001000000002,7163100
254,2011-01-05,25.530001000000002,26.23,25.25,25.35,25.35,7953300
255,2011-01-06,25.43,25.9,25.25,25.75,25.75,5933200
256,2011-01-07,25.75,26.08,25.450001,25.950001,25.950001,4370400
257,2011-01-10,26.08,26.379998999999998,25.790001,26.200001,26.200001,5403500
258,2011-01-11,26.389999,26.389999,25.58,25.690001000000002,25.690001000000002,4742100
259,2011-01-12,25.85,26.08,25.629998999999998,25.9,25.9,3646800
260,2011-01-13,25.76,25.99,25.5,25.959999,25.959999,3998700
261,2011-01-14,25.77,25.889999,25.610001,25.879998999999998,25.879998999999998,3111200
262,2011-01-18,25.690001000000002,25.690001000000002,25.0,25.02,25.02,5101900
263,2011-01-19,25.129998999999998,25.5,24.200001,24.379998999999998,24.379998999999998,7086100
264,2011-01-20,24.24,24.610001,23.82,24.18,24.18,7652300
265,2011-01-21,24.57,24.57,23.629998999999998,23.75,23.75,5548000
266,2011-01-24,23.870001000000002,24.280001000000002,23.76,24.120001000000002,24.120001000000002,7255200
267,2011-01-25,24.200001,24.450001,23.84,24.09,24.09,3688900
268,2011-01-26,25.07,26.4,24.83,25.790001,25.790001,13092000
269,2011-01-27,26.219998999999998,27.469998999999998,26.01,26.959999,26.959999,8311500
270,2011-01-28,26.969998999999998,27.02,25.51,25.85,25.85,7695100
271,2011-01-31,25.879998999999998,26.48,25.110001,25.4,25.4,6381000
272,2011-02-01,25.459999,25.549999,24.940001000000002,25.26,25.26,9581000
273,2011-02-02,25.030001000000002,25.389999,24.68,24.76,24.76,7415600
274,2011-02-03,24.68,25.950001,24.67,25.629998999999998,25.629998999999998,6776600
275,2011-02-04,25.43,25.66,24.75,25.65,25.65,9038100
276,2011-02-07,25.59,26.870001000000002,25.59,26.42,26.42,6198300
277,2011-02-08,26.43,27.24,26.43,26.75,26.75,7208800
278,2011-02-09,26.540001,26.700001,26.299999,26.620001000000002,26.620001000000002,5116400
279,2011-02-10,26.43,26.629998999999998,26.15,26.559998999999998,26.559998999999998,7461700
280,2011-02-11,26.299999,27.459999,26.299999,27.290001,27.290001,7879700
281,2011-02-14,27.15,27.5,26.66,26.940001000000002,26.940001000000002,4045800
282,2011-02-15,26.860001,27.719998999999998,26.700001,27.190001000000002,27.190001000000002,5733300
283,2011-02-16,27.290001,27.67,26.950001,27.48,27.48,5562100
284,2011-02-17,27.190001000000002,27.620001000000002,27.16,27.450001,27.450001,7435100
285,2011-02-18,27.6,27.629998999999998,26.6,26.92,26.92,4194400
