,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,16.559998999999998,16.709999,16.139999,16.209999,10.866831,1835200
1,2010-01-05,16.200001,16.299999,16.01,16.190001000000002,10.853425999999999,1665600
2,2010-01-06,16.219998999999998,16.42,15.96,16.08,10.779684,1889000
3,2010-01-07,16.040001,16.42,15.82,16.200001,10.860128999999999,1792000
4,2010-01-08,16.040001,16.18,15.77,15.88,10.645607,1099800
5,2010-01-11,16.09,16.25,15.96,15.99,10.71935,1531200
6,2010-01-12,16.17,16.24,15.52,15.6,10.457904,2410800
7,2010-01-13,15.43,15.96,15.35,15.87,10.763093,1949500
8,2010-01-14,15.73,15.84,15.61,15.74,10.674926,1234000
9,2010-01-15,15.62,15.74,15.44,15.55,10.546068,1531600
10,2010-01-19,15.61,15.97,15.51,15.93,10.803782,1855900
11,2010-01-20,15.8,15.82,15.46,15.77,10.695275,1500100
12,2010-01-21,15.76,15.92,15.34,15.36,10.417207000000001,2653500
13,2010-01-22,15.44,15.55,14.93,14.97,10.152711,1828500
14,2010-01-25,15.28,15.47,14.85,15.29,10.369736999999999,1979500
15,2010-01-26,15.15,15.35,14.94,15.19,10.301911,2069400
16,2010-01-27,15.16,15.4,14.92,15.4,10.444341,1789600
17,2010-01-28,15.4,15.64,15.22,15.44,10.471465,2003200
18,2010-01-29,15.52,15.7,15.37,15.56,10.552850999999999,2573400
19,2010-02-01,15.67,15.87,15.57,15.75,10.681709,1844100
20,2010-02-02,15.44,16.09,15.44,16.049999,10.885168,1547500
21,2010-02-03,15.93,15.94,15.43,15.71,10.654580000000001,1881500
22,2010-02-04,15.54,15.73,15.31,15.33,10.396863,3858200
23,2010-02-05,15.36,15.81,15.21,15.81,10.722402,4798600
24,2010-02-08,15.72,15.96,15.48,15.52,10.52572,2499600
25,2010-02-09,15.8,15.8,14.99,15.09,10.234096000000001,4455200
26,2010-02-10,14.98,15.15,14.48,14.7,9.969597,2427300
27,2010-02-11,14.65,15.06,14.47,15.05,10.206964,2589100
