,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,9.92,10.13,9.79,10.04,10.04,1692500
1,2010-01-05,10.04,10.04,9.8,9.93,9.93,1459200
2,2010-01-06,9.9,9.97,9.69,9.93,9.93,1072900
3,2010-01-07,9.87,9.98,9.73,9.8,9.8,2052800
4,2010-01-08,9.78,9.85,9.52,9.58,9.58,1399000
5,2010-01-11,9.61,9.65,9.29,9.3,9.3,1570800
6,2010-01-12,9.3,9.32,8.97,9.14,9.14,1666600
7,2010-01-13,9.16,9.21,8.85,8.96,8.96,3644500
8,2010-01-14,8.97,9.0,8.87,8.98,8.98,1102000
9,2010-01-15,9.03,9.15,8.91,9.14,9.14,1683000
10,2010-01-19,9.19,9.33,9.1,9.28,9.28,1929300
11,2010-01-20,9.2,9.28,9.0,9.25,9.25,1465700
12,2010-01-21,9.28,9.28,8.73,8.8,8.8,2489400
13,2010-01-22,8.73,8.87,8.45,8.49,8.49,4160800
14,2010-01-25,8.56,8.75,8.36,8.62,8.62,3592100
15,2010-01-26,8.59,8.77,8.43,8.5,8.5,1005900
16,2010-01-27,8.49,8.51,8.26,8.34,8.34,2403900
17,2010-01-28,8.34,8.44,8.18,8.33,8.33,2354300
18,2010-01-29,8.3,8.43,8.01,8.01,8.01,1727100
19,2010-02-01,8.06,8.44,8.05,8.38,8.38,1465500
20,2010-02-02,8.37,8.61,8.25,8.46,8.46,1937000
21,2010-02-03,8.42,8.5,8.15,8.31,8.31,1484000
22,2010-02-04,8.18,8.2,7.29,7.38,7.38,4219100
23,2010-02-05,7.33,7.43,7.13,7.38,7.38,2973700
24,2010-02-08,7.38,7.53,7.25,7.41,7.41,2475700
25,2010-02-09,7.54,7.81,7.34,7.54,7.54,1831000
26,2010-02-10,7.5,7.6,7.18,7.28,7.28,1747300
27,2010-02-11,7.25,7.3,7.03,7.08,7.08,2456200
28,2010-02-12,7.03,7.1,6.99,7.07,7.07,1658700
29,2010-02-16,7.14,7.2,7.03,7.14,7.14,1078700
30,2010-02-17,7.15,7.21,7.02,7.16,7.16,981700
31,2010-02-18,7.14,7.17,6.93,7.02,7.02,1175100
32,2010-02-19,6.96,7.06,6.87,7.03,7.03,2765200
33,2010-02-22,7.09,7.46,6.99,7.44,7.44,2207600
34,2010-02-23,7.44,7.47,7.24,7.29,7.29,991200
35,2010-02-24,7.3,7.46,7.25,7.36,7.36,1566200
36,2010-02-25,7.23,7.32,7.03,7.28,7.28,1366600
37,2010-02-26,7.27,7.6,7.21,7.55,7.55,1162300
38,2010-03-01,7.57,7.97,7.56,7.8,7.8,1881800
39,2010-03-02,7.86,8.15,7.8,8.02,8.02,2345000
40,2010-03-03,8.04,8.19,7.67,7.76,7.76,1627000
41,2010-03-04,7.73,7.93,7.68,7.87,7.87,714000
42,2010-03-05,8.0,8.31,7.92,8.28,8.28,1420600
43,2010-03-08,8.29,8.35,8.11,8.18,8.18,633600
44,2010-03-09,8.11,8.49,8.11,8.39,8.39,939300
45,2010-03-10,8.38,8.64,8.29,8.5,8.5,1249500
46,2010-03-11,8.29,8.52,8.11,8.47,8.47,556800
47,2010-03-12,8.48,8.5,8.26,8.42,8.42,528700
48,2010-03-15,8.34,8.42,8.13,8.25,8.25,713100
49,2010-03-16,8.29,8.31,8.17,8.25,8.25,330800
50,2010-03-17,8.25,8.33,8.17,8.25,8.25,567900
51,2010-03-18,8.25,8.3,8.11,8.14,8.14,396600
52,2010-03-19,7.96,8.28,7.94,7.96,7.96,836200
53,2010-03-22,7.88,8.15,7.83,7.97,7.97,879000
54,2010-03-23,8.0,8.41,8.0,8.39,8.39,1027100
55,2010-03-24,8.35,8.49,8.25,8.46,8.46,1103400
56,2010-03-25,8.52,8.7,8.41,8.41,8.41,1027800
57,2010-03-26,8.37,8.65,8.31,8.4,8.4,695100
58,2010-03-29,8.5,9.1,8.41,9.0,9.0,2384100
59,2010-03-30,9.05,9.44,9.02,9.4,9.4,3247300
60,2010-03-31,9.37,9.62,9.17,9.38,9.38,1734600
61,2010-04-01,9.51,9.56,9.26,9.27,9.27,1442000
62,2010-04-05,9.3,9.64,9.26,9.6,9.6,1275300
63,2010-04-06,9.56,9.8,9.48,9.74,9.74,2087900
64,2010-04-07,9.65,10.0,9.65,9.83,9.83,1754900
65,2010-04-08,9.69,9.86,9.39,9.82,9.82,2041300
66,2010-04-09,9.83,10.48,9.76,10.46,10.46,3694700
67,2010-04-12,10.37,10.45,10.16,10.2,10.2,1985800
68,2010-04-13,10.22,10.54,10.12,10.47,10.47,1783000
69,2010-04-14,10.5,10.84,10.42,10.78,10.78,1508000
70,2010-04-15,10.71,11.05,10.71,10.94,10.94,2356000
71,2010-04-16,10.86,11.02,10.53,10.63,10.63,1306700
72,2010-04-19,10.53,10.8,10.53,10.73,10.73,1309700
73,2010-04-20,10.77,10.93,10.54,10.73,10.73,2109700
74,2010-04-21,10.75,10.76,10.35,10.7,10.7,1882300
75,2010-04-22,10.65,12.61,10.45,12.51,12.51,6920000
76,2010-04-23,12.49,13.35,12.42,13.14,13.14,3902600
77,2010-04-26,13.08,13.94,13.08,13.82,13.82,3153400
78,2010-04-27,13.75,13.95,13.13,13.22,13.22,3916900
79,2010-04-28,13.35,13.83,13.12,13.3,13.3,1827400
80,2010-04-29,13.33,14.69,13.33,14.46,14.46,4978600
81,2010-04-30,14.44,14.79,14.33,14.36,14.36,2752800
82,2010-05-03,14.48,14.7,14.31,14.59,14.59,1403700
83,2010-05-04,14.27,14.27,13.7,13.9,13.9,2395700
84,2010-05-05,13.59,13.8,13.14,13.3,13.3,2699200
85,2010-05-06,13.13,13.6,11.37,12.58,12.58,1824200
86,2010-05-07,12.6,12.75,11.99,12.12,12.12,2860700
87,2010-05-10,12.58,13.48,12.58,13.34,13.34,1794600
88,2010-05-11,13.1,13.9,12.88,13.46,13.46,1740400
89,2010-05-12,13.51,14.29,13.51,14.01,14.01,2087600
90,2010-05-13,14.01,14.55,13.91,14.2,14.2,1554100
91,2010-05-14,14.02,14.12,13.27,13.56,13.56,1534500
92,2010-05-17,13.66,13.92,12.92,13.38,13.38,1138500
93,2010-05-18,13.5,13.84,13.17,13.31,13.31,1464900
94,2010-05-19,13.43,13.43,12.37,12.61,12.61,2051300
95,2010-05-20,12.15,12.42,11.61,11.61,11.61,3012800
96,2010-05-21,11.4,12.21,11.2,11.81,11.81,2038300
97,2010-05-24,11.77,12.28,11.77,11.89,11.89,1598100
98,2010-05-25,11.34,11.51,10.88,11.51,11.51,2319100
99,2010-05-26,11.55,12.17,11.51,11.7,11.7,1302600
100,2010-05-27,12.05,12.41,11.85,12.41,12.41,1229200
101,2010-05-28,12.33,12.61,12.08,12.15,12.15,1409400
102,2010-06-01,12.0,12.63,11.7,12.21,12.21,2426000
103,2010-06-02,12.36,12.62,12.23,12.62,12.62,1069400
104,2010-06-03,12.48,12.7,12.29,12.55,12.55,737900
105,2010-06-04,12.18,12.33,11.64,11.65,11.65,1570100
106,2010-06-07,11.66,11.8,11.08,11.17,11.17,1589400
107,2010-06-08,11.25,11.41,10.77,10.83,10.83,1615200
108,2010-06-09,10.91,11.63,10.87,10.97,10.97,3338700
109,2010-06-10,11.23,11.46,11.14,11.4,11.4,1561500
110,2010-06-11,11.12,11.7,11.0,11.7,11.7,2465000
111,2010-06-14,11.93,12.22,11.76,11.83,11.83,1067700
112,2010-06-15,12.0,12.65,11.91,12.61,12.61,2409800
113,2010-06-16,12.5,12.74,12.3,12.63,12.63,1202000
114,2010-06-17,12.64,12.7,12.17,12.52,12.52,812400
115,2010-06-18,12.57,12.77,11.92,12.48,12.48,1176300
116,2010-06-21,12.75,13.07,12.09,12.23,12.23,933500
117,2010-06-22,12.24,12.39,11.44,11.52,11.52,1422000
118,2010-06-23,11.56,11.56,10.83,10.98,10.98,2276500
119,2010-06-24,10.8,10.94,10.43,10.46,10.46,2131500
120,2010-06-25,10.46,10.76,10.13,10.68,10.68,2535500
121,2010-06-28,10.69,10.92,10.5,10.53,10.53,1034200
122,2010-06-29,10.23,10.24,9.39,9.51,9.51,3178800
123,2010-06-30,9.53,9.75,9.28,9.32,9.32,1350900
124,2010-07-01,9.32,9.35,8.55,8.91,8.91,2975300
125,2010-07-02,8.99,8.99,8.43,8.53,8.53,1500500
126,2010-07-06,8.75,8.87,8.2,8.29,8.29,2416900
127,2010-07-07,8.34,8.93,8.22,8.83,8.83,1554900
128,2010-07-08,8.95,9.12,8.87,9.1,9.1,1164500
129,2010-07-09,9.24,9.84,9.21,9.59,9.59,2278500
130,2010-07-12,9.52,9.71,9.27,9.51,9.51,939300
131,2010-07-13,9.77,10.3,9.72,10.17,10.17,2335000
132,2010-07-14,10.01,10.46,10.01,10.43,10.43,1939900
133,2010-07-15,10.42,10.61,10.14,10.57,10.57,2146300
134,2010-07-16,10.44,10.5,10.13,10.25,10.25,2535300
135,2010-07-19,10.31,10.4,10.06,10.4,10.4,2388200
136,2010-07-20,10.15,10.61,10.05,10.57,10.57,2442100
137,2010-07-21,11.93,12.31,11.53,11.85,11.85,10937000
138,2010-07-22,11.86,12.79,11.86,12.5,12.5,4350700
139,2010-07-23,12.4,12.9,12.39,12.85,12.85,2476900
140,2010-07-26,12.78,13.67,12.71,13.22,13.22,2563200
141,2010-07-27,13.43,13.57,12.86,13.1,13.1,1797600
142,2010-07-28,13.07,13.23,12.69,12.76,12.76,2351600
143,2010-07-29,12.97,13.43,12.75,13.11,13.11,2285100
144,2010-07-30,12.85,13.38,12.73,13.18,13.18,1341400
145,2010-08-02,13.52,13.7,13.19,13.37,13.37,1379700
146,2010-08-03,13.2,13.61,13.06,13.4,13.4,1773000
147,2010-08-04,13.4,13.98,13.39,13.89,13.89,1685400
148,2010-08-05,13.69,13.69,13.28,13.41,13.41,1312700
149,2010-08-06,13.42,13.68,12.9,13.47,13.47,1310500
150,2010-08-09,13.57,13.76,13.43,13.73,13.73,723500
151,2010-08-10,13.46,13.63,12.89,13.21,13.21,1202000
152,2010-08-11,12.77,12.78,12.16,12.26,12.26,1790100
153,2010-08-12,11.93,12.12,11.69,12.09,12.09,3415700
154,2010-08-13,12.0,12.17,11.93,12.03,12.03,713800
155,2010-08-16,11.86,12.35,11.81,12.26,12.26,894700
156,2010-08-17,12.45,12.89,12.36,12.62,12.62,837800
157,2010-08-18,12.54,13.08,12.33,12.95,12.95,1137200
158,2010-08-19,12.85,12.88,12.55,12.8,12.8,1379800
159,2010-08-20,12.69,12.88,12.35,12.41,12.41,1118200
160,2010-08-23,12.6,12.73,11.89,11.93,11.93,1538400
161,2010-08-24,11.68,11.82,11.33,11.61,11.61,1234300
162,2010-08-25,11.41,11.58,11.11,11.5,11.5,982700
163,2010-08-26,11.53,11.89,11.26,11.31,11.31,658800
164,2010-08-27,11.48,11.89,11.04,11.84,11.84,948800
165,2010-08-30,11.7,11.77,11.22,11.23,11.23,1028100
166,2010-08-31,11.12,11.43,10.89,11.25,11.25,1071100
167,2010-09-01,11.48,11.95,11.3,11.93,11.93,2020700
168,2010-09-02,11.92,12.46,11.82,12.39,12.39,1057200
169,2010-09-03,12.75,13.08,12.7,12.93,12.93,1624400
170,2010-09-07,12.81,12.92,12.6,12.64,12.64,1043400
171,2010-09-08,12.66,13.17,12.59,13.06,13.06,1261400
172,2010-09-09,13.35,13.52,13.06,13.11,13.11,726600
173,2010-09-10,13.14,13.77,13.09,13.66,13.66,1079100
174,2010-09-13,13.78,14.05,13.72,13.8,13.8,1561100
175,2010-09-14,13.73,14.07,13.51,13.97,13.97,1301600
176,2010-09-15,13.91,14.03,13.69,13.95,13.95,718800
177,2010-09-16,13.89,14.0,13.44,13.89,13.89,1020600
178,2010-09-17,14.01,14.28,13.71,14.01,14.01,1344100
179,2010-09-20,14.09,14.52,13.94,14.48,14.48,1256900
180,2010-09-21,14.5,14.9,14.34,14.38,14.38,1658600
181,2010-09-22,14.27,14.62,14.25,14.35,14.35,1209900
182,2010-09-23,14.13,14.53,13.92,14.06,14.06,1038000
183,2010-09-24,14.35,14.53,14.34,14.52,14.52,2190300
184,2010-09-27,14.55,14.75,14.42,14.63,14.63,1775200
185,2010-09-28,14.63,14.82,14.29,14.8,14.8,1729800
186,2010-09-29,14.74,14.9,14.45,14.79,14.79,1395100
